"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,239010,245970,0.971703866325162
"2","Newfoundland and Labrador","DivisionNo.10",1010,23390,23820,0.981947942905122
"3","Newfoundland and Labrador","DivisionNo.11",1011,2400,2410,0.995850622406639
"4","Newfoundland and Labrador","DivisionNo.2",1002,22015,22190,0.99211356466877
"5","Newfoundland and Labrador","DivisionNo.3",1003,17460,17550,0.994871794871795
"6","Newfoundland and Labrador","DivisionNo.4",1004,20850,21030,0.991440798858773
"7","Newfoundland and Labrador","DivisionNo.5",1005,39705,40380,0.983283803863299
"8","Newfoundland and Labrador","DivisionNo.6",1006,35110,35650,0.984852734922861
"9","Newfoundland and Labrador","DivisionNo.7",1007,34850,35140,0.991747296528173
"10","Newfoundland and Labrador","DivisionNo.8",1008,38270,38505,0.993896896506947
"11","Newfoundland and Labrador","DivisionNo.9",1009,17805,17945,0.992198383950961
