"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,170,245970,0.000691141196080823
"2","Newfoundland and Labrador","DivisionNo.10",1010,40,23820,0.00167926112510495
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,0,22190,0
"5","Newfoundland and Labrador","DivisionNo.3",1003,10,17550,0.00056980056980057
"6","Newfoundland and Labrador","DivisionNo.4",1004,10,21030,0.000475511174512601
"7","Newfoundland and Labrador","DivisionNo.5",1005,45,40380,0.00111441307578009
"8","Newfoundland and Labrador","DivisionNo.6",1006,0,35650,0
"9","Newfoundland and Labrador","DivisionNo.7",1007,20,35140,0.000569151963574274
"10","Newfoundland and Labrador","DivisionNo.8",1008,0,38505,0
"11","Newfoundland and Labrador","DivisionNo.9",1009,0,17945,0
