"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,1585,245970,0.00644387526934179
"2","Newfoundland and Labrador","DivisionNo.10",1010,120,23820,0.00503778337531486
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,35,22190,0.00157728706624606
"5","Newfoundland and Labrador","DivisionNo.3",1003,30,17550,0.00170940170940171
"6","Newfoundland and Labrador","DivisionNo.4",1004,40,21030,0.0019020446980504
"7","Newfoundland and Labrador","DivisionNo.5",1005,190,40380,0.00470529965329371
"8","Newfoundland and Labrador","DivisionNo.6",1006,110,35650,0.00308555399719495
"9","Newfoundland and Labrador","DivisionNo.7",1007,110,35140,0.00313033579965851
"10","Newfoundland and Labrador","DivisionNo.8",1008,60,38505,0.00155823918971562
"11","Newfoundland and Labrador","DivisionNo.9",1009,40,17945,0.00222903315686821
