"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Newfoundland and Labrador","DivisionNo.1",1001,1010,245970,0.00410619181200959
"2","Newfoundland and Labrador","DivisionNo.10",1010,50,23820,0.00209907640638119
"3","Newfoundland and Labrador","DivisionNo.11",1011,0,2410,0
"4","Newfoundland and Labrador","DivisionNo.2",1002,0,22190,0
"5","Newfoundland and Labrador","DivisionNo.3",1003,0,17550,0
"6","Newfoundland and Labrador","DivisionNo.4",1004,70,21030,0.00332857822158821
"7","Newfoundland and Labrador","DivisionNo.5",1005,60,40380,0.00148588410104012
"8","Newfoundland and Labrador","DivisionNo.6",1006,105,35650,0.002945301542777
"9","Newfoundland and Labrador","DivisionNo.7",1007,35,35140,0.00099601593625498
"10","Newfoundland and Labrador","DivisionNo.8",1008,45,38505,0.00116867939228672
"11","Newfoundland and Labrador","DivisionNo.9",1009,15,17945,0.000835887433825578
