"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,45,21145,0.00212816268621424
"2","Nova Scotia","Antigonish",1214,15,18715,0.000801496126102057
"3","Nova Scotia","CapeBreton",1217,60,104660,0.000573284922606535
"4","Nova Scotia","Colchester",1210,20,49520,0.000403877221324717
"5","Nova Scotia","Cumberland",1211,10,31170,0.000320821302534488
"6","Nova Scotia","Digby",1203,20,18720,0.00106837606837607
"7","Nova Scotia","Guysborough",1213,0,8950,0
"8","Nova Scotia","Halifax",1209,1805,369455,0.00488557469786577
"9","Nova Scotia","Hants",1208,0,40860,0
"10","Nova Scotia","Inverness",1215,0,18750,0
"11","Nova Scotia","Kings",1207,25,59260,0.000421869726628417
"12","Nova Scotia","Lunenburg",1206,60,46610,0.00128727740828148
"13","Nova Scotia","Pictou",1212,15,45820,0.000327367961588826
"14","Nova Scotia","Queens",1204,0,11055,0
"15","Nova Scotia","Richmond",1216,0,9630,0
"16","Nova Scotia","Shelburne",1201,0,15405,0
"17","Nova Scotia","Victoria",1218,0,7500,0
"18","Nova Scotia","Yarmouth",1202,30,25870,0.00115964437572478
