"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,90,21145,0.00425632537242847
"2","Nova Scotia","Antigonish",1214,110,18715,0.00587763825808175
"3","Nova Scotia","CapeBreton",1217,285,104660,0.00272310338238104
"4","Nova Scotia","Colchester",1210,240,49520,0.00484652665589661
"5","Nova Scotia","Cumberland",1211,120,31170,0.00384985563041386
"6","Nova Scotia","Digby",1203,25,18720,0.00133547008547009
"7","Nova Scotia","Guysborough",1213,20,8950,0.00223463687150838
"8","Nova Scotia","Halifax",1209,8090,369455,0.0218971187289386
"9","Nova Scotia","Hants",1208,180,40860,0.00440528634361234
"10","Nova Scotia","Inverness",1215,65,18750,0.00346666666666667
"11","Nova Scotia","Kings",1207,255,59260,0.00430307121160985
"12","Nova Scotia","Lunenburg",1206,195,46610,0.00418365157691482
"13","Nova Scotia","Pictou",1212,75,45820,0.00163683980794413
"14","Nova Scotia","Queens",1204,15,11055,0.00135685210312076
"15","Nova Scotia","Richmond",1216,0,9630,0
"16","Nova Scotia","Shelburne",1201,55,15405,0.0035702693930542
"17","Nova Scotia","Victoria",1218,25,7500,0.00333333333333333
"18","Nova Scotia","Yarmouth",1202,60,25870,0.00231928875144956
