"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,15560,21145,0.735871364388744
"2","Nova Scotia","Antigonish",1214,15565,18715,0.831685813518568
"3","Nova Scotia","CapeBreton",1217,93570,104660,0.894037836804892
"4","Nova Scotia","Colchester",1210,39675,49520,0.801191437802908
"5","Nova Scotia","Cumberland",1211,24370,31170,0.781841514276548
"6","Nova Scotia","Digby",1203,16085,18720,0.859241452991453
"7","Nova Scotia","Guysborough",1213,8005,8950,0.894413407821229
"8","Nova Scotia","Halifax",1209,249320,369455,0.674831846909637
"9","Nova Scotia","Hants",1208,32985,40860,0.80726872246696
"10","Nova Scotia","Inverness",1215,16120,18750,0.859733333333333
"11","Nova Scotia","Kings",1207,43655,59260,0.736668916638542
"12","Nova Scotia","Lunenburg",1206,38000,46610,0.815275691911607
"13","Nova Scotia","Pictou",1212,39035,45820,0.851920558707988
"14","Nova Scotia","Queens",1204,9745,11055,0.88150158299412
"15","Nova Scotia","Richmond",1216,8500,9630,0.882658359293873
"16","Nova Scotia","Shelburne",1201,13905,15405,0.902629016553067
"17","Nova Scotia","Victoria",1218,6540,7500,0.872
"18","Nova Scotia","Yarmouth",1202,22575,25870,0.872632392732895
