"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,4155,21145,0.196500354693781
"2","Nova Scotia","Antigonish",1214,2265,18715,0.121025915041411
"3","Nova Scotia","CapeBreton",1217,9230,104660,0.0881903305943054
"4","Nova Scotia","Colchester",1210,7855,49520,0.158622778675283
"5","Nova Scotia","Cumberland",1211,5785,31170,0.185595123516201
"6","Nova Scotia","Digby",1203,1975,18720,0.105502136752137
"7","Nova Scotia","Guysborough",1213,780,8950,0.0871508379888268
"8","Nova Scotia","Halifax",1209,90520,369455,0.245009541080781
"9","Nova Scotia","Hants",1208,6225,40860,0.152349486049927
"10","Nova Scotia","Inverness",1215,1930,18750,0.102933333333333
"11","Nova Scotia","Kings",1207,12740,59260,0.214984812689841
"12","Nova Scotia","Lunenburg",1206,6440,46610,0.138167775155546
"13","Nova Scotia","Pictou",1212,5445,45820,0.118834570056744
"14","Nova Scotia","Queens",1204,1015,11055,0.0918136589778381
"15","Nova Scotia","Richmond",1216,830,9630,0.0861889927310488
"16","Nova Scotia","Shelburne",1201,1020,15405,0.0662122687439143
"17","Nova Scotia","Victoria",1218,610,7500,0.0813333333333333
"18","Nova Scotia","Yarmouth",1202,2465,25870,0.0952841128720526
