"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,25,21145,0.00118231260345235
"2","Nova Scotia","Antigonish",1214,15,18715,0.000801496126102057
"3","Nova Scotia","CapeBreton",1217,0,104660,0
"4","Nova Scotia","Colchester",1210,45,49520,0.000908723747980614
"5","Nova Scotia","Cumberland",1211,15,31170,0.000481231953801732
"6","Nova Scotia","Digby",1203,10,18720,0.000534188034188034
"7","Nova Scotia","Guysborough",1213,0,8950,0
"8","Nova Scotia","Halifax",1209,165,369455,0.000446603781245348
"9","Nova Scotia","Hants",1208,95,40860,0.00232501223690651
"10","Nova Scotia","Inverness",1215,0,18750,0
"11","Nova Scotia","Kings",1207,115,59260,0.00194060074249072
"12","Nova Scotia","Lunenburg",1206,0,46610,0
"13","Nova Scotia","Pictou",1212,10,45820,0.000218245307725884
"14","Nova Scotia","Queens",1204,0,11055,0
"15","Nova Scotia","Richmond",1216,0,9630,0
"16","Nova Scotia","Shelburne",1201,0,15405,0
"17","Nova Scotia","Victoria",1218,0,7500,0
"18","Nova Scotia","Yarmouth",1202,0,25870,0
