"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,0,21145,0
"2","Nova Scotia","Antigonish",1214,30,18715,0.00160299225220411
"3","Nova Scotia","CapeBreton",1217,120,104660,0.00114656984521307
"4","Nova Scotia","Colchester",1210,65,49520,0.00131260096930533
"5","Nova Scotia","Cumberland",1211,10,31170,0.000320821302534488
"6","Nova Scotia","Digby",1203,10,18720,0.000534188034188034
"7","Nova Scotia","Guysborough",1213,0,8950,0
"8","Nova Scotia","Halifax",1209,1250,369455,0.00338336197913142
"9","Nova Scotia","Hants",1208,55,40860,0.00134605971610377
"10","Nova Scotia","Inverness",1215,60,18750,0.0032
"11","Nova Scotia","Kings",1207,105,59260,0.00177185285183935
"12","Nova Scotia","Lunenburg",1206,0,46610,0
"13","Nova Scotia","Pictou",1212,10,45820,0.000218245307725884
"14","Nova Scotia","Queens",1204,0,11055,0
"15","Nova Scotia","Richmond",1216,0,9630,0
"16","Nova Scotia","Shelburne",1201,0,15405,0
"17","Nova Scotia","Victoria",1218,0,7500,0
"18","Nova Scotia","Yarmouth",1202,10,25870,0.000386548125241593
