"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,930,21145,0.0439820288484275
"2","Nova Scotia","Antigonish",1214,435,18715,0.0232433876569597
"3","Nova Scotia","CapeBreton",1217,910,104660,0.00869482132619912
"4","Nova Scotia","Colchester",1210,1165,49520,0.0235258481421648
"5","Nova Scotia","Cumberland",1211,585,31170,0.0187680461982676
"6","Nova Scotia","Digby",1203,235,18720,0.0125534188034188
"7","Nova Scotia","Guysborough",1213,100,8950,0.0111731843575419
"8","Nova Scotia","Halifax",1209,12535,369455,0.0339283539267299
"9","Nova Scotia","Hants",1208,810,40860,0.0198237885462555
"10","Nova Scotia","Inverness",1215,245,18750,0.0130666666666667
"11","Nova Scotia","Kings",1207,1530,59260,0.0258184272696591
"12","Nova Scotia","Lunenburg",1206,1310,46610,0.0281055567474791
"13","Nova Scotia","Pictou",1212,865,45820,0.018878219118289
"14","Nova Scotia","Queens",1204,160,11055,0.0144730890999548
"15","Nova Scotia","Richmond",1216,140,9630,0.0145379023883697
"16","Nova Scotia","Shelburne",1201,175,15405,0.0113599480688088
"17","Nova Scotia","Victoria",1218,145,7500,0.0193333333333333
"18","Nova Scotia","Yarmouth",1202,290,25870,0.0112098956320062
