"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,0,21145,0
"2","Nova Scotia","Antigonish",1214,0,18715,0
"3","Nova Scotia","CapeBreton",1217,0,104660,0
"4","Nova Scotia","Colchester",1210,0,49520,0
"5","Nova Scotia","Cumberland",1211,25,31170,0.000802053256336221
"6","Nova Scotia","Digby",1203,0,18720,0
"7","Nova Scotia","Guysborough",1213,0,8950,0
"8","Nova Scotia","Halifax",1209,190,369455,0.000514271020827976
"9","Nova Scotia","Hants",1208,10,40860,0.000244738130200685
"10","Nova Scotia","Inverness",1215,10,18750,0.000533333333333333
"11","Nova Scotia","Kings",1207,0,59260,0
"12","Nova Scotia","Lunenburg",1206,10,46610,0.000214546234713581
"13","Nova Scotia","Pictou",1212,10,45820,0.000218245307725884
"14","Nova Scotia","Queens",1204,15,11055,0.00135685210312076
"15","Nova Scotia","Richmond",1216,0,9630,0
"16","Nova Scotia","Shelburne",1201,15,15405,0.000973709834469328
"17","Nova Scotia","Victoria",1218,10,7500,0.00133333333333333
"18","Nova Scotia","Yarmouth",1202,0,25870,0
