"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,1375,21145,0.0650271931898794
"2","Nova Scotia","Antigonish",1214,810,18715,0.0432807908095111
"3","Nova Scotia","CapeBreton",1217,1730,104660,0.0165297152684884
"4","Nova Scotia","Colchester",1210,1915,49520,0.0386712439418417
"5","Nova Scotia","Cumberland",1211,980,31170,0.0314404876483799
"6","Nova Scotia","Digby",1203,590,18720,0.031517094017094
"7","Nova Scotia","Guysborough",1213,150,8950,0.0167597765363128
"8","Nova Scotia","Halifax",1209,27410,369455,0.0741903614783938
"9","Nova Scotia","Hants",1208,1545,40860,0.0378120411160059
"10","Nova Scotia","Inverness",1215,610,18750,0.0325333333333333
"11","Nova Scotia","Kings",1207,2635,59260,0.0444650691866352
"12","Nova Scotia","Lunenburg",1206,2115,46610,0.0453765286419223
"13","Nova Scotia","Pictou",1212,1265,45820,0.0276080314273243
"14","Nova Scotia","Queens",1204,290,11055,0.026232473993668
"15","Nova Scotia","Richmond",1216,240,9630,0.0249221183800623
"16","Nova Scotia","Shelburne",1201,460,15405,0.0298604349237261
"17","Nova Scotia","Victoria",1218,315,7500,0.042
"18","Nova Scotia","Yarmouth",1202,760,25870,0.029377657518361
