"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,10,21145,0.000472925041380941
"2","Nova Scotia","Antigonish",1214,20,18715,0.00106866150146941
"3","Nova Scotia","CapeBreton",1217,20,104660,0.000191094974202178
"4","Nova Scotia","Colchester",1210,70,49520,0.00141357027463651
"5","Nova Scotia","Cumberland",1211,0,31170,0
"6","Nova Scotia","Digby",1203,0,18720,0
"7","Nova Scotia","Guysborough",1213,10,8950,0.00111731843575419
"8","Nova Scotia","Halifax",1209,1160,369455,0.00313975991663396
"9","Nova Scotia","Hants",1208,0,40860,0
"10","Nova Scotia","Inverness",1215,0,18750,0
"11","Nova Scotia","Kings",1207,15,59260,0.00025312183597705
"12","Nova Scotia","Lunenburg",1206,85,46610,0.00182364299506544
"13","Nova Scotia","Pictou",1212,20,45820,0.000436490615451768
"14","Nova Scotia","Queens",1204,0,11055,0
"15","Nova Scotia","Richmond",1216,0,9630,0
"16","Nova Scotia","Shelburne",1201,20,15405,0.00129827977929244
"17","Nova Scotia","Victoria",1218,10,7500,0.00133333333333333
"18","Nova Scotia","Yarmouth",1202,10,25870,0.000386548125241593
