"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,15,21145,0.000709387562071412
"2","Nova Scotia","Antigonish",1214,10,18715,0.000534330750734705
"3","Nova Scotia","CapeBreton",1217,30,104660,0.000286642461303268
"4","Nova Scotia","Colchester",1210,40,49520,0.000807754442649435
"5","Nova Scotia","Cumberland",1211,30,31170,0.000962463907603465
"6","Nova Scotia","Digby",1203,25,18720,0.00133547008547009
"7","Nova Scotia","Guysborough",1213,0,8950,0
"8","Nova Scotia","Halifax",1209,315,369455,0.000852607218741119
"9","Nova Scotia","Hants",1208,15,40860,0.000367107195301028
"10","Nova Scotia","Inverness",1215,20,18750,0.00106666666666667
"11","Nova Scotia","Kings",1207,50,59260,0.000843739453256834
"12","Nova Scotia","Lunenburg",1206,25,46610,0.000536365586783952
"13","Nova Scotia","Pictou",1212,20,45820,0.000436490615451768
"14","Nova Scotia","Queens",1204,0,11055,0
"15","Nova Scotia","Richmond",1216,10,9630,0.00103842159916926
"16","Nova Scotia","Shelburne",1201,10,15405,0.000649139889646219
"17","Nova Scotia","Victoria",1218,0,7500,0
"18","Nova Scotia","Yarmouth",1202,20,25870,0.000773096250483185
