"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,0,21145,0
"2","Nova Scotia","Antigonish",1214,0,18715,0
"3","Nova Scotia","CapeBreton",1217,0,104660,0
"4","Nova Scotia","Colchester",1210,20,49520,0.000403877221324717
"5","Nova Scotia","Cumberland",1211,0,31170,0
"6","Nova Scotia","Digby",1203,0,18720,0
"7","Nova Scotia","Guysborough",1213,0,8950,0
"8","Nova Scotia","Halifax",1209,400,369455,0.00108267583332206
"9","Nova Scotia","Hants",1208,10,40860,0.000244738130200685
"10","Nova Scotia","Inverness",1215,0,18750,0
"11","Nova Scotia","Kings",1207,30,59260,0.000506243671954101
"12","Nova Scotia","Lunenburg",1206,50,46610,0.0010727311735679
"13","Nova Scotia","Pictou",1212,10,45820,0.000218245307725884
"14","Nova Scotia","Queens",1204,0,11055,0
"15","Nova Scotia","Richmond",1216,0,9630,0
"16","Nova Scotia","Shelburne",1201,0,15405,0
"17","Nova Scotia","Victoria",1218,0,7500,0
"18","Nova Scotia","Yarmouth",1202,0,25870,0
