"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,525,21145,0.0248285646724994
"2","Nova Scotia","Antigonish",1214,110,18715,0.00587763825808175
"3","Nova Scotia","CapeBreton",1217,360,104660,0.00343970953563921
"4","Nova Scotia","Colchester",1210,620,49520,0.0125201938610662
"5","Nova Scotia","Cumberland",1211,300,31170,0.00962463907603465
"6","Nova Scotia","Digby",1203,135,18720,0.00721153846153846
"7","Nova Scotia","Guysborough",1213,35,8950,0.00391061452513967
"8","Nova Scotia","Halifax",1209,6585,369455,0.0178235509060643
"9","Nova Scotia","Hants",1208,510,40860,0.0124816446402349
"10","Nova Scotia","Inverness",1215,75,18750,0.004
"11","Nova Scotia","Kings",1207,705,59260,0.0118967262909214
"12","Nova Scotia","Lunenburg",1206,810,46610,0.0173782450118
"13","Nova Scotia","Pictou",1212,450,45820,0.00982103884766478
"14","Nova Scotia","Queens",1204,80,11055,0.00723654454997739
"15","Nova Scotia","Richmond",1216,35,9630,0.00363447559709242
"16","Nova Scotia","Shelburne",1201,105,15405,0.0068159688412853
"17","Nova Scotia","Victoria",1218,60,7500,0.008
"18","Nova Scotia","Yarmouth",1202,160,25870,0.00618477000386548
