"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Nova Scotia","Annapolis",1205,265,21145,0.0125325135965949
"2","Nova Scotia","Antigonish",1214,220,18715,0.0117552765161635
"3","Nova Scotia","CapeBreton",1217,415,104660,0.0039652207146952
"4","Nova Scotia","Colchester",1210,370,49520,0.00747172859450727
"5","Nova Scotia","Cumberland",1211,195,31170,0.00625601539942252
"6","Nova Scotia","Digby",1203,240,18720,0.0128205128205128
"7","Nova Scotia","Guysborough",1213,30,8950,0.00335195530726257
"8","Nova Scotia","Halifax",1209,3370,369455,0.00912154389573832
"9","Nova Scotia","Hants",1208,400,40860,0.00978952520802741
"10","Nova Scotia","Inverness",1215,265,18750,0.0141333333333333
"11","Nova Scotia","Kings",1207,575,59260,0.00970300371245359
"12","Nova Scotia","Lunenburg",1206,455,46610,0.00976185367946793
"13","Nova Scotia","Pictou",1212,285,45820,0.00621999127018769
"14","Nova Scotia","Queens",1204,95,11055,0.00859339665309815
"15","Nova Scotia","Richmond",1216,90,9630,0.00934579439252336
"16","Nova Scotia","Shelburne",1201,200,15405,0.0129827977929244
"17","Nova Scotia","Victoria",1218,145,7500,0.0193333333333333
"18","Nova Scotia","Yarmouth",1202,335,25870,0.0129493621955934
