"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,65,116080,0.000559958649207443
"2","Ontario","Brant",3529,365,123320,0.00295977943561466
"3","Ontario","Bruce",3541,75,64555,0.00116180001549067
"4","Ontario","Chatham-Kent",3536,190,107150,0.00177321511899207
"5","Ontario","Cochrane",3556,55,81465,0.000675136561713619
"6","Ontario","Dufferin",3522,140,53920,0.00259643916913947
"7","Ontario","Durham",3518,4430,557330,0.00794861213284768
"8","Ontario","Elgin",3534,100,84255,0.00118687318260044
"9","Ontario","Essex",3537,3465,389585,0.00889407959752044
"10","Ontario","Frontenac",3510,705,140655,0.00501226405033593
"11","Ontario","GreaterSudbury/GrandSudbury",3553,450,156045,0.00288378352398347
"12","Ontario","Grey",3542,160,90900,0.00176017601760176
"13","Ontario","Haldimand-Norfolk",3528,50,106605,0.000469021152853994
"14","Ontario","Haliburton",3546,15,16000,0.0009375
"15","Ontario","Halton",3524,4880,435395,0.0112082132316632
"16","Ontario","Hamilton",3525,4645,497400,0.00933856051467632
"17","Ontario","Hastings",3512,235,128795,0.00182460499242983
"18","Ontario","Huron",3540,25,58590,0.000426693975081072
"19","Ontario","KawarthaLakes",3516,85,73365,0.00115859060860083
"20","Ontario","Kenora",3560,70,64000,0.00109375
"21","Ontario","Lambton",3538,325,126540,0.00256835783151573
"22","Ontario","Lanark",3509,175,62695,0.00279129117154478
"23","Ontario","LeedsandGrenville",3507,80,97680,0.000819000819000819
"24","Ontario","LennoxandAddington",3511,30,39275,0.000763844684914067
"25","Ontario","Manitoulin",3551,0,12940,0
"26","Ontario","Middlesex",3539,3690,417675,0.00883462021906985
"27","Ontario","Muskoka",3544,55,56275,0.00097734340293203
"28","Ontario","Niagara",3526,2225,421750,0.0052756372258447
"29","Ontario","Nipissing",3548,160,83605,0.00191376113868788
"30","Ontario","Northumberland",3514,115,79075,0.00145431552323743
"31","Ontario","Ottawa",3506,18695,801270,0.0233317109089321
"32","Ontario","Oxford",3532,225,101460,0.00221762270845653
"33","Ontario","ParrySound",3549,35,40415,0.000866015093405914
"34","Ontario","Peel",3521,27185,1154070,0.0235557635152114
"35","Ontario","Perth",3531,125,73425,0.00170241743275451
"36","Ontario","Peterborough",3515,240,131525,0.00182474814674016
"37","Ontario","PrescottandRussell",3502,205,78745,0.00260333989459648
"38","Ontario","PrinceEdward",3513,35,24935,0.00140364948867054
"39","Ontario","RainyRiver",3559,0,21270,0
"40","Ontario","Renfrew",3547,115,96330,0.00119381293470362
"41","Ontario","Simcoe",3543,1070,417000,0.00256594724220623
"42","Ontario","Stormont,DundasandGlengarry",3501,325,108580,0.00299318474857248
"43","Ontario","Sudbury",3552,20,21260,0.000940733772342427
"44","Ontario","ThunderBay",3558,270,147105,0.00183542367696543
"45","Ontario","Timiskaming",3554,60,32795,0.0018295471870712
"46","Ontario","Toronto",3520,67680,2476565,0.0273281743059439
"47","Ontario","Waterloo",3530,4430,473260,0.00936060516418037
"48","Ontario","Wellington",3523,955,198630,0.00480793435029955
"49","Ontario","York",3519,16070,887345,0.0181102051625918
