"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,455,116080,0.0039197105444521
"2","Ontario","Brant",3529,2625,123320,0.0212860849821602
"3","Ontario","Bruce",3541,405,64555,0.0062737200836496
"4","Ontario","Chatham-Kent",3536,1255,107150,0.0117125524965002
"5","Ontario","Cochrane",3556,235,81465,0.0028846744000491
"6","Ontario","Dufferin",3522,510,53920,0.00945845697329377
"7","Ontario","Durham",3518,25145,557330,0.0451168966321569
"8","Ontario","Elgin",3534,710,84255,0.00842679959646312
"9","Ontario","Essex",3537,27755,389585,0.0712424759680172
"10","Ontario","Frontenac",3510,3760,140655,0.026732074935125
"11","Ontario","GreaterSudbury/GrandSudbury",3553,1075,156045,0.00688903841840495
"12","Ontario","Grey",3542,525,90900,0.00577557755775578
"13","Ontario","Haldimand-Norfolk",3528,480,106605,0.00450260306739834
"14","Ontario","Haliburton",3546,50,16000,0.003125
"15","Ontario","Halton",3524,26385,435395,0.0606001446961954
"16","Ontario","Hamilton",3525,30740,497400,0.0618013671089666
"17","Ontario","Hastings",3512,1505,128795,0.0116852362281144
"18","Ontario","Huron",3540,280,58590,0.004778972520908
"19","Ontario","KawarthaLakes",3516,460,73365,0.00627001976419274
"20","Ontario","Kenora",3560,145,64000,0.002265625
"21","Ontario","Lambton",3538,1625,126540,0.0128417891575786
"22","Ontario","Lanark",3509,335,62695,0.00534332881410001
"23","Ontario","LeedsandGrenville",3507,725,97680,0.00742219492219492
"24","Ontario","LennoxandAddington",3511,180,39275,0.00458306810948441
"25","Ontario","Manitoulin",3551,10,12940,0.000772797527047913
"26","Ontario","Middlesex",3539,19875,417675,0.0475848446758844
"27","Ontario","Muskoka",3544,190,56275,0.00337627721012883
"28","Ontario","Niagara",3526,10110,421750,0.0239715471250741
"29","Ontario","Nipissing",3548,500,83605,0.00598050355839962
"30","Ontario","Northumberland",3514,740,79075,0.00935820423648435
"31","Ontario","Ottawa",3506,73120,801270,0.0912551324771925
"32","Ontario","Oxford",3532,1040,101460,0.0102503449635324
"33","Ontario","ParrySound",3549,115,40415,0.002845478164048
"34","Ontario","Peel",3521,286355,1154070,0.248126196851144
"35","Ontario","Perth",3531,615,73425,0.0083758937691522
"36","Ontario","Peterborough",3515,1495,131525,0.0113666603307356
"37","Ontario","PrescottandRussell",3502,420,78745,0.00533367197917328
"38","Ontario","PrinceEdward",3513,140,24935,0.00561459795468217
"39","Ontario","RainyRiver",3559,15,21270,0.000705218617771509
"40","Ontario","Renfrew",3547,685,96330,0.00711097269801723
"41","Ontario","Simcoe",3543,5560,417000,0.0133333333333333
"42","Ontario","Stormont,DundasandGlengarry",3501,1705,108580,0.0157027076809726
"43","Ontario","Sudbury",3552,75,21260,0.0035277516462841
"44","Ontario","ThunderBay",3558,1365,147105,0.0092790863668808
"45","Ontario","Timiskaming",3554,65,32795,0.00198200945266047
"46","Ontario","Toronto",3520,601815,2476565,0.243003918734215
"47","Ontario","Waterloo",3530,26885,473260,0.0568080970291172
"48","Ontario","Wellington",3523,8910,198630,0.0448572723153602
"49","Ontario","York",3519,207440,887345,0.233776039759057
