"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,95450,116080,0.822277739490007
"2","Ontario","Brant",3529,97845,123320,0.793423613363607
"3","Ontario","Bruce",3541,55405,64555,0.858260398110139
"4","Ontario","Chatham-Kent",3536,91160,107150,0.850769948670089
"5","Ontario","Cochrane",3556,69215,81465,0.849628674891058
"6","Ontario","Dufferin",3522,42420,53920,0.786721068249258
"7","Ontario","Durham",3518,394380,557330,0.707623849424937
"8","Ontario","Elgin",3534,67455,84255,0.800605305323126
"9","Ontario","Essex",3537,278460,389585,0.71476057856437
"10","Ontario","Frontenac",3510,101055,140655,0.718460061853471
"11","Ontario","GreaterSudbury/GrandSudbury",3553,131090,156045,0.840078182575539
"12","Ontario","Grey",3542,77270,90900,0.85005500550055
"13","Ontario","Haldimand-Norfolk",3528,88705,106605,0.83209042727827
"14","Ontario","Haliburton",3546,13340,16000,0.83375
"15","Ontario","Halton",3524,274030,435395,0.629382514728006
"16","Ontario","Hamilton",3525,332110,497400,0.667691998391637
"17","Ontario","Hastings",3512,102525,128795,0.796032454676036
"18","Ontario","Huron",3540,50865,58590,0.868151561699949
"19","Ontario","KawarthaLakes",3516,62170,73365,0.847406801608396
"20","Ontario","Kenora",3560,48420,64000,0.7565625
"21","Ontario","Lambton",3538,102625,126540,0.81100837679785
"22","Ontario","Lanark",3509,50285,62695,0.80205758034931
"23","Ontario","LeedsandGrenville",3507,77940,97680,0.797911547911548
"24","Ontario","LennoxandAddington",3511,33005,39275,0.84035646085296
"25","Ontario","Manitoulin",3551,11660,12940,0.901081916537867
"26","Ontario","Middlesex",3539,297600,417675,0.712515711977016
"27","Ontario","Muskoka",3544,47090,56275,0.836783651710351
"28","Ontario","Niagara",3526,308840,421750,0.732282157676349
"29","Ontario","Nipissing",3548,70780,83605,0.84660008372705
"30","Ontario","Northumberland",3514,63320,79075,0.800758773316472
"31","Ontario","Ottawa",3506,454220,801270,0.56687508580129
"32","Ontario","Oxford",3532,84330,101460,0.831164991129509
"33","Ontario","ParrySound",3549,34455,40415,0.852530001237164
"34","Ontario","Peel",3521,509955,1154070,0.441875276196418
"35","Ontario","Perth",3531,62515,73425,0.851413006469186
"36","Ontario","Peterborough",3515,109090,131525,0.829424063866185
"37","Ontario","PrescottandRussell",3502,59440,78745,0.754841577243
"38","Ontario","PrinceEdward",3513,20235,24935,0.811509925807098
"39","Ontario","RainyRiver",3559,16805,21270,0.790079924776681
"40","Ontario","Renfrew",3547,75625,96330,0.785061766843143
"41","Ontario","Simcoe",3543,326505,417000,0.782985611510791
"42","Ontario","Stormont,DundasandGlengarry",3501,83665,108580,0.77053785227482
"43","Ontario","Sudbury",3552,18440,21260,0.867356538099718
"44","Ontario","ThunderBay",3558,115955,147105,0.788246490601951
"45","Ontario","Timiskaming",3554,27890,32795,0.850434517456929
"46","Ontario","Toronto",3520,1022285,2476565,0.412783431890542
"47","Ontario","Waterloo",3530,321355,473260,0.679024215019228
"48","Ontario","Wellington",3523,147425,198630,0.742209132558022
"49","Ontario","York",3519,455810,887345,0.513678445249593
