"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,8995,116080,0.0774896623018608
"2","Ontario","Brant",3529,9135,123320,0.0740755757379176
"3","Ontario","Bruce",3541,3770,64555,0.0583998141119975
"4","Ontario","Chatham-Kent",3536,4745,107150,0.0442837144190387
"5","Ontario","Cochrane",3556,9570,81465,0.11747376173817
"6","Ontario","Dufferin",3522,4420,53920,0.081973293768546
"7","Ontario","Durham",3518,47705,557330,0.0855956076292322
"8","Ontario","Elgin",3534,5150,84255,0.0611239689039226
"9","Ontario","Essex",3537,18205,389585,0.0467292118536391
"10","Ontario","Frontenac",3510,20620,140655,0.146599836479329
"11","Ontario","GreaterSudbury/GrandSudbury",3553,14120,156045,0.0904867185747701
"12","Ontario","Grey",3542,5610,90900,0.0617161716171617
"13","Ontario","Haldimand-Norfolk",3528,5650,106605,0.0529993902725013
"14","Ontario","Haliburton",3546,1150,16000,0.071875
"15","Ontario","Halton",3524,50290,435395,0.1155043121763
"16","Ontario","Hamilton",3525,34210,497400,0.0687776437474869
"17","Ontario","Hastings",3512,15540,128795,0.120656857797275
"18","Ontario","Huron",3540,2825,58590,0.0482164191841611
"19","Ontario","KawarthaLakes",3516,5095,73365,0.0694472841273087
"20","Ontario","Kenora",3560,12515,64000,0.195546875
"21","Ontario","Lambton",3538,8855,126540,0.0699778726094516
"22","Ontario","Lanark",3509,7895,62695,0.125927107424835
"23","Ontario","LeedsandGrenville",3507,11785,97680,0.120649058149058
"24","Ontario","LennoxandAddington",3511,3755,39275,0.0956078930617441
"25","Ontario","Manitoulin",3551,635,12940,0.0490726429675425
"26","Ontario","Middlesex",3539,32425,417675,0.0776321302448076
"27","Ontario","Muskoka",3544,4240,56275,0.0753442914260329
"28","Ontario","Niagara",3526,33800,421750,0.0801422643746295
"29","Ontario","Nipissing",3548,8350,83605,0.0998744094252736
"30","Ontario","Northumberland",3514,6915,79075,0.0874486247233639
"31","Ontario","Ottawa",3506,160620,801270,0.200456774869894
"32","Ontario","Oxford",3532,5825,101460,0.0574117878967081
"33","Ontario","ParrySound",3549,2790,40415,0.0690337745886428
"34","Ontario","Peel",3521,71925,1154070,0.062322909355585
"35","Ontario","Perth",3531,3885,73425,0.0529111338100102
"36","Ontario","Peterborough",3515,9440,131525,0.0717734271051131
"37","Ontario","PrescottandRussell",3502,15960,78745,0.202679535208585
"38","Ontario","PrinceEdward",3513,2275,24935,0.0912372167635853
"39","Ontario","RainyRiver",3559,2840,21270,0.133521391631406
"40","Ontario","Renfrew",3547,14750,96330,0.153119485103291
"41","Ontario","Simcoe",3543,37550,417000,0.0900479616306955
"42","Ontario","Stormont,DundasandGlengarry",3501,16770,108580,0.15444833302634
"43","Ontario","Sudbury",3552,2005,21260,0.0943085606773283
"44","Ontario","ThunderBay",3558,16650,147105,0.113184460079535
"45","Ontario","Timiskaming",3554,3525,32795,0.107485897240433
"46","Ontario","Toronto",3520,161950,2476565,0.0653929939250534
"47","Ontario","Waterloo",3530,42440,473260,0.0896758652749017
"48","Ontario","Wellington",3523,16460,198630,0.0828676433569954
"49","Ontario","York",3519,43835,887345,0.0494001769323093
