"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,80,116080,0.000689179875947622
"2","Ontario","Brant",3529,270,123320,0.00218942588387934
"3","Ontario","Bruce",3541,35,64555,0.000542173340562311
"4","Ontario","Chatham-Kent",3536,1680,107150,0.0156789547363509
"5","Ontario","Cochrane",3556,0,81465,0
"6","Ontario","Dufferin",3522,50,53920,0.000927299703264095
"7","Ontario","Durham",3518,895,557330,0.00160587084850986
"8","Ontario","Elgin",3534,3360,84255,0.0398789389353748
"9","Ontario","Essex",3537,5690,389585,0.0146052851110797
"10","Ontario","Frontenac",3510,315,140655,0.00223952223525648
"11","Ontario","GreaterSudbury/GrandSudbury",3553,105,156045,0.000672882822262809
"12","Ontario","Grey",3542,55,90900,0.000605060506050605
"13","Ontario","Haldimand-Norfolk",3528,1690,106605,0.015852914966465
"14","Ontario","Haliburton",3546,15,16000,0.0009375
"15","Ontario","Halton",3524,1025,435395,0.00235418413165057
"16","Ontario","Hamilton",3525,2685,497400,0.00539806996381182
"17","Ontario","Hastings",3512,250,128795,0.0019410691408828
"18","Ontario","Huron",3540,125,58590,0.00213346987540536
"19","Ontario","KawarthaLakes",3516,20,73365,0.000272609554964901
"20","Ontario","Kenora",3560,45,64000,0.000703125
"21","Ontario","Lambton",3538,255,126540,0.00201517306780465
"22","Ontario","Lanark",3509,60,62695,0.00095701411595821
"23","Ontario","LeedsandGrenville",3507,45,97680,0.000460687960687961
"24","Ontario","LennoxandAddington",3511,0,39275,0
"25","Ontario","Manitoulin",3551,0,12940,0
"26","Ontario","Middlesex",3539,3375,417675,0.00808044532231999
"27","Ontario","Muskoka",3544,10,56275,0.000177698800533096
"28","Ontario","Niagara",3526,1515,421750,0.00359217545939538
"29","Ontario","Nipissing",3548,15,83605,0.000179415106751989
"30","Ontario","Northumberland",3514,30,79075,0.000379386658235852
"31","Ontario","Ottawa",3506,3605,801270,0.00449910766657931
"32","Ontario","Oxford",3532,340,101460,0.00335107431500099
"33","Ontario","ParrySound",3549,15,40415,0.000371149325745392
"34","Ontario","Peel",3521,4745,1154070,0.00411153569540842
"35","Ontario","Perth",3531,415,73425,0.00565202587674498
"36","Ontario","Peterborough",3515,90,131525,0.000684280555027561
"37","Ontario","PrescottandRussell",3502,30,78745,0.000380976569940949
"38","Ontario","PrinceEdward",3513,10,24935,0.000401042711048727
"39","Ontario","RainyRiver",3559,60,21270,0.00282087447108604
"40","Ontario","Renfrew",3547,40,96330,0.000415239281636043
"41","Ontario","Simcoe",3543,575,417000,0.001378896882494
"42","Ontario","Stormont,DundasandGlengarry",3501,35,108580,0.00032234297292319
"43","Ontario","Sudbury",3552,15,21260,0.00070555032925682
"44","Ontario","ThunderBay",3558,115,147105,0.00078175452907787
"45","Ontario","Timiskaming",3554,0,32795,0
"46","Ontario","Toronto",3520,18820,2476565,0.00759923523105592
"47","Ontario","Waterloo",3530,3635,473260,0.00768076744284326
"48","Ontario","Wellington",3523,905,198630,0.00455621003876554
"49","Ontario","York",3519,1785,887345,0.00201161893063014
