"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,165,116080,0.00142143349414197
"2","Ontario","Brant",3529,365,123320,0.00295977943561466
"3","Ontario","Bruce",3541,70,64555,0.00108434668112462
"4","Ontario","Chatham-Kent",3536,105,107150,0.000979934671021932
"5","Ontario","Cochrane",3556,70,81465,0.000859264714908243
"6","Ontario","Dufferin",3522,30,53920,0.000556379821958457
"7","Ontario","Durham",3518,1975,557330,0.00354368148134857
"8","Ontario","Elgin",3534,80,84255,0.000949498546080351
"9","Ontario","Essex",3537,3890,389585,0.00998498402145873
"10","Ontario","Frontenac",3510,865,140655,0.00614979915395827
"11","Ontario","GreaterSudbury/GrandSudbury",3553,210,156045,0.00134576564452562
"12","Ontario","Grey",3542,110,90900,0.00121012101210121
"13","Ontario","Haldimand-Norfolk",3528,120,106605,0.00112565076684958
"14","Ontario","Haliburton",3546,10,16000,0.000625
"15","Ontario","Halton",3524,2515,435395,0.00577636399131823
"16","Ontario","Hamilton",3525,4030,497400,0.00810213108162445
"17","Ontario","Hastings",3512,415,128795,0.00322217477386545
"18","Ontario","Huron",3540,30,58590,0.000512032770097286
"19","Ontario","KawarthaLakes",3516,45,73365,0.000613371498671028
"20","Ontario","Kenora",3560,15,64000,0.000234375
"21","Ontario","Lambton",3538,295,126540,0.00233127864706812
"22","Ontario","Lanark",3509,70,62695,0.00111651646861791
"23","Ontario","LeedsandGrenville",3507,85,97680,0.00087018837018837
"24","Ontario","LennoxandAddington",3511,25,39275,0.00063653723742839
"25","Ontario","Manitoulin",3551,10,12940,0.000772797527047913
"26","Ontario","Middlesex",3539,2470,417675,0.00591368887292752
"27","Ontario","Muskoka",3544,45,56275,0.000799644602398934
"28","Ontario","Niagara",3526,1530,421750,0.00362774155305276
"29","Ontario","Nipissing",3548,145,83605,0.00173434603193589
"30","Ontario","Northumberland",3514,85,79075,0.00107492886500158
"31","Ontario","Ottawa",3506,14015,801270,0.0174909830643853
"32","Ontario","Oxford",3532,85,101460,0.000837768578750246
"33","Ontario","ParrySound",3549,20,40415,0.000494865767660522
"34","Ontario","Peel",3521,18815,1154070,0.0163031705182528
"35","Ontario","Perth",3531,170,73425,0.00231528770854614
"36","Ontario","Peterborough",3515,330,131525,0.00250902870176772
"37","Ontario","PrescottandRussell",3502,70,78745,0.000888945329862213
"38","Ontario","PrinceEdward",3513,0,24935,0
"39","Ontario","RainyRiver",3559,0,21270,0
"40","Ontario","Renfrew",3547,120,96330,0.00124571784490813
"41","Ontario","Simcoe",3543,650,417000,0.00155875299760192
"42","Ontario","Stormont,DundasandGlengarry",3501,220,108580,0.00202615582980291
"43","Ontario","Sudbury",3552,0,21260,0
"44","Ontario","ThunderBay",3558,420,147105,0.00285510349750178
"45","Ontario","Timiskaming",3554,15,32795,0.0004573867967678
"46","Ontario","Toronto",3520,130280,2476565,0.0526051203986166
"47","Ontario","Waterloo",3530,4020,473260,0.00849427376072349
"48","Ontario","Wellington",3523,1290,198630,0.0064944872375774
"49","Ontario","York",3519,39560,887345,0.0445824341152539
