"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,9230,116080,0.0795141281874569
"2","Ontario","Brant",3529,10825,123320,0.0877797599740513
"3","Ontario","Bruce",3541,4095,64555,0.0634342808457904
"4","Ontario","Chatham-Kent",3536,6360,107150,0.0593560429304713
"5","Ontario","Cochrane",3556,2005,81465,0.0246117964770147
"6","Ontario","Dufferin",3522,5290,53920,0.0981083086053412
"7","Ontario","Durham",3518,52715,557330,0.0945848958426785
"8","Ontario","Elgin",3534,5740,84255,0.0681265206812652
"9","Ontario","Essex",3537,39815,389585,0.102198493268478
"10","Ontario","Frontenac",3510,10715,140655,0.0761793039707085
"11","Ontario","GreaterSudbury/GrandSudbury",3553,7815,156045,0.0500817071998462
"12","Ontario","Grey",3542,5990,90900,0.0658965896589659
"13","Ontario","Haldimand-Norfolk",3528,8575,106605,0.0804371277144599
"14","Ontario","Haliburton",3546,1245,16000,0.0778125
"15","Ontario","Halton",3524,61280,435395,0.140745759597607
"16","Ontario","Hamilton",3525,76510,497400,0.153819863289103
"17","Ontario","Hastings",3512,6975,128795,0.0541558290306301
"18","Ontario","Huron",3540,3755,58590,0.064089435057177
"19","Ontario","KawarthaLakes",3516,4875,73365,0.0664485790226947
"20","Ontario","Kenora",3560,1790,64000,0.02796875
"21","Ontario","Lambton",3538,10165,126540,0.0803303303303303
"22","Ontario","Lanark",3509,3130,62695,0.0499242363824866
"23","Ontario","LeedsandGrenville",3507,5545,97680,0.0567669942669943
"24","Ontario","LennoxandAddington",3511,1895,39275,0.0482495225970719
"25","Ontario","Manitoulin",3551,450,12940,0.0347758887171561
"26","Ontario","Middlesex",3539,46190,417675,0.110588376129766
"27","Ontario","Muskoka",3544,3755,56275,0.0667258996001777
"28","Ontario","Niagara",3526,50670,421750,0.12014226437463
"29","Ontario","Nipissing",3548,2825,83605,0.0337898451049578
"30","Ontario","Northumberland",3514,6820,79075,0.0862472336389504
"31","Ontario","Ottawa",3506,58745,801270,0.0733148626555343
"32","Ontario","Oxford",3532,8375,101460,0.0825448452592155
"33","Ontario","ParrySound",3549,2530,40415,0.062600519609056
"34","Ontario","Peel",3521,148860,1154070,0.128986976526554
"35","Ontario","Perth",3531,4935,73425,0.0672114402451481
"36","Ontario","Peterborough",3515,8885,131525,0.0675536970157765
"37","Ontario","PrescottandRussell",3502,2040,78745,0.0259064067559845
"38","Ontario","PrinceEdward",3513,1910,24935,0.0765991578103068
"39","Ontario","RainyRiver",3559,695,21270,0.0326751292900799
"40","Ontario","Renfrew",3547,3945,96330,0.0409529741513547
"41","Ontario","Simcoe",3543,37825,417000,0.0907074340527578
"42","Ontario","Stormont,DundasandGlengarry",3501,4730,108580,0.0435623503407626
"43","Ontario","Sudbury",3552,600,21260,0.0282220131702728
"44","Ontario","ThunderBay",3558,10875,147105,0.0739267869888855
"45","Ontario","Timiskaming",3554,1040,32795,0.0317121512425675
"46","Ontario","Toronto",3520,357380,2476565,0.144304712373792
"47","Ontario","Waterloo",3530,58185,473260,0.122945104171069
"48","Ontario","Wellington",3523,19550,198630,0.0984242058097971
"49","Ontario","York",3519,119745,887345,0.134947511959835
