"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,20,116080,0.000172294968986906
"2","Ontario","Brant",3529,40,123320,0.000324359390204346
"3","Ontario","Bruce",3541,35,64555,0.000542173340562311
"4","Ontario","Chatham-Kent",3536,10,107150,9.33271115258983e-05
"5","Ontario","Cochrane",3556,0,81465,0
"6","Ontario","Dufferin",3522,0,53920,0
"7","Ontario","Durham",3518,1285,557330,0.00230563579925717
"8","Ontario","Elgin",3534,15,84255,0.000178030977390066
"9","Ontario","Essex",3537,760,389585,0.00195079379339554
"10","Ontario","Frontenac",3510,210,140655,0.00149301482350432
"11","Ontario","GreaterSudbury/GrandSudbury",3553,35,156045,0.000224294274087603
"12","Ontario","Grey",3542,35,90900,0.000385038503850385
"13","Ontario","Haldimand-Norfolk",3528,10,106605,9.38042305707987e-05
"14","Ontario","Haliburton",3546,0,16000,0
"15","Ontario","Halton",3524,1370,435395,0.00314656805888905
"16","Ontario","Hamilton",3525,740,497400,0.00148773622838762
"17","Ontario","Hastings",3512,50,128795,0.00038821382817656
"18","Ontario","Huron",3540,30,58590,0.000512032770097286
"19","Ontario","KawarthaLakes",3516,20,73365,0.000272609554964901
"20","Ontario","Kenora",3560,10,64000,0.00015625
"21","Ontario","Lambton",3538,75,126540,0.000592697961119014
"22","Ontario","Lanark",3509,40,62695,0.000638009410638807
"23","Ontario","LeedsandGrenville",3507,60,97680,0.000614250614250614
"24","Ontario","LennoxandAddington",3511,0,39275,0
"25","Ontario","Manitoulin",3551,0,12940,0
"26","Ontario","Middlesex",3539,860,417675,0.0020590171784282
"27","Ontario","Muskoka",3544,20,56275,0.000355397601066193
"28","Ontario","Niagara",3526,320,421750,0.000758743331357439
"29","Ontario","Nipissing",3548,20,83605,0.000239220142335985
"30","Ontario","Northumberland",3514,35,79075,0.000442617767941827
"31","Ontario","Ottawa",3506,2920,801270,0.00364421480899073
"32","Ontario","Oxford",3532,45,101460,0.000443524541691307
"33","Ontario","ParrySound",3549,0,40415,0
"34","Ontario","Peel",3521,8945,1154070,0.00775082967237689
"35","Ontario","Perth",3531,20,73425,0.000272386789240722
"36","Ontario","Peterborough",3515,35,131525,0.000266109104732941
"37","Ontario","PrescottandRussell",3502,15,78745,0.000190488284970474
"38","Ontario","PrinceEdward",3513,0,24935,0
"39","Ontario","RainyRiver",3559,0,21270,0
"40","Ontario","Renfrew",3547,50,96330,0.000519049102045053
"41","Ontario","Simcoe",3543,165,417000,0.00039568345323741
"42","Ontario","Stormont,DundasandGlengarry",3501,30,108580,0.000276293976791306
"43","Ontario","Sudbury",3552,10,21260,0.000470366886171214
"44","Ontario","ThunderBay",3558,130,147105,0.000883722511131505
"45","Ontario","Timiskaming",3554,10,32795,0.000304924531178533
"46","Ontario","Toronto",3520,46280,2476565,0.0186871735649983
"47","Ontario","Waterloo",3530,830,473260,0.0017537928411444
"48","Ontario","Wellington",3523,90,198630,0.000453103760761214
"49","Ontario","York",3519,45955,887345,0.0517893265866151
