"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,11230,116080,0.0967436250861475
"2","Ontario","Brant",3529,15960,123320,0.129419396691534
"3","Ontario","Bruce",3541,5265,64555,0.0815583610874448
"4","Ontario","Chatham-Kent",3536,10830,107150,0.101073261782548
"5","Ontario","Cochrane",3556,2605,81465,0.0319769226047996
"6","Ontario","Dufferin",3522,6925,53920,0.128431008902077
"7","Ontario","Durham",3518,113395,557330,0.203461145102542
"8","Ontario","Elgin",3534,11155,84255,0.132395703519079
"9","Ontario","Essex",3537,87170,389585,0.223750914434591
"10","Ontario","Frontenac",3510,17935,140655,0.127510575521667
"11","Ontario","GreaterSudbury/GrandSudbury",3553,10450,156045,0.0669678618347272
"12","Ontario","Grey",3542,7830,90900,0.0861386138613861
"13","Ontario","Haldimand-Norfolk",3528,11860,106605,0.111251817456967
"14","Ontario","Haliburton",3546,1485,16000,0.0928125
"15","Ontario","Halton",3524,107920,435395,0.247866879500224
"16","Ontario","Hamilton",3525,126485,497400,0.254292320064335
"17","Ontario","Hastings",3512,10280,128795,0.0798167630731007
"18","Ontario","Huron",3540,4665,58590,0.079621095750128
"19","Ontario","KawarthaLakes",3516,6005,73365,0.0818510188782117
"20","Ontario","Kenora",3560,2835,64000,0.044296875
"21","Ontario","Lambton",3538,14700,126540,0.116168800379327
"22","Ontario","Lanark",3509,4435,62695,0.0707392934045777
"23","Ontario","LeedsandGrenville",3507,7795,97680,0.0798013923013923
"24","Ontario","LennoxandAddington",3511,2495,39275,0.0635264162953533
"25","Ontario","Manitoulin",3551,645,12940,0.0498454404945904
"26","Ontario","Middlesex",3539,83450,417675,0.199796492488179
"27","Ontario","Muskoka",3544,4745,56275,0.0843180808529542
"28","Ontario","Niagara",3526,75835,421750,0.179810314167161
"29","Ontario","Nipissing",3548,4290,83605,0.0513127205310687
"30","Ontario","Northumberland",3514,8725,79075,0.110338286436927
"31","Ontario","Ottawa",3506,178545,801270,0.22282751132577
"32","Ontario","Oxford",3532,11105,101460,0.109452000788488
"33","Ontario","ParrySound",3549,3095,40415,0.0765804775454658
"34","Ontario","Peel",3521,561240,1154070,0.486313655150901
"35","Ontario","Perth",3531,6930,73425,0.0943820224719101
"36","Ontario","Peterborough",3515,12450,131525,0.094658810112146
"37","Ontario","PrescottandRussell",3502,3265,78745,0.0414629500285732
"38","Ontario","PrinceEdward",3513,2365,24935,0.0948466011630239
"39","Ontario","RainyRiver",3559,1575,21270,0.0740479548660085
"40","Ontario","Renfrew",3547,5835,96330,0.0605730302086577
"41","Ontario","Simcoe",3543,51335,417000,0.12310551558753
"42","Ontario","Stormont,DundasandGlengarry",3501,7965,108580,0.0733560508380917
"43","Ontario","Sudbury",3552,790,21260,0.0371589840075259
"44","Ontario","ThunderBay",3558,14110,147105,0.0959178817851195
"45","Ontario","Timiskaming",3554,1340,32795,0.0408598871779235
"46","Ontario","Toronto",3520,1237720,2476565,0.499772870891739
"47","Ontario","Waterloo",3530,105375,473260,0.222657735705532
"48","Ontario","Wellington",3523,33740,198630,0.169863565423149
"49","Ontario","York",3519,380530,887345,0.428841093374054
