"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,90,116080,0.000775327360441075
"2","Ontario","Brant",3529,635,123320,0.005149205319494
"3","Ontario","Bruce",3541,115,64555,0.00178142669041902
"4","Ontario","Chatham-Kent",3536,220,107150,0.00205319645356976
"5","Ontario","Cochrane",3556,15,81465,0.000184128153194623
"6","Ontario","Dufferin",3522,185,53920,0.00343100890207715
"7","Ontario","Durham",3518,4090,557330,0.00733856063732439
"8","Ontario","Elgin",3534,135,84255,0.00160227879651059
"9","Ontario","Essex",3537,4310,389585,0.0110630542757036
"10","Ontario","Frontenac",3510,565,140655,0.00401692083466638
"11","Ontario","GreaterSudbury/GrandSudbury",3553,265,156045,0.00169822807523471
"12","Ontario","Grey",3542,140,90900,0.00154015401540154
"13","Ontario","Haldimand-Norfolk",3528,60,106605,0.000562825383424792
"14","Ontario","Haliburton",3546,15,16000,0.0009375
"15","Ontario","Halton",3524,6635,435395,0.0152390358180503
"16","Ontario","Hamilton",3525,5235,497400,0.010524728588661
"17","Ontario","Hastings",3512,270,128795,0.00209635467215342
"18","Ontario","Huron",3540,40,58590,0.000682710360129715
"19","Ontario","KawarthaLakes",3516,90,73365,0.00122674299734206
"20","Ontario","Kenora",3560,25,64000,0.000390625
"21","Ontario","Lambton",3538,415,126540,0.00327959538485854
"22","Ontario","Lanark",3509,35,62695,0.000558258234308956
"23","Ontario","LeedsandGrenville",3507,120,97680,0.00122850122850123
"24","Ontario","LennoxandAddington",3511,15,39275,0.000381922342457034
"25","Ontario","Manitoulin",3551,0,12940,0
"26","Ontario","Middlesex",3539,2100,417675,0.0050278326449991
"27","Ontario","Muskoka",3544,15,56275,0.000266548200799645
"28","Ontario","Niagara",3526,1415,421750,0.00335506816834618
"29","Ontario","Nipissing",3548,55,83605,0.000657855391423958
"30","Ontario","Northumberland",3514,135,79075,0.00170723996206133
"31","Ontario","Ottawa",3506,8155,801270,0.0101775930709998
"32","Ontario","Oxford",3532,150,101460,0.00147841513897102
"33","Ontario","ParrySound",3549,30,40415,0.000742298651490783
"34","Ontario","Peel",3521,114515,1154070,0.0992270832791772
"35","Ontario","Perth",3531,145,73425,0.00197480422199523
"36","Ontario","Peterborough",3515,340,131525,0.00258505987454856
"37","Ontario","PrescottandRussell",3502,85,78745,0.00107943361483269
"38","Ontario","PrinceEdward",3513,20,24935,0.000802085422097453
"39","Ontario","RainyRiver",3559,10,21270,0.000470145745181006
"40","Ontario","Renfrew",3547,160,96330,0.00166095712654417
"41","Ontario","Simcoe",3543,745,417000,0.00178657074340528
"42","Ontario","Stormont,DundasandGlengarry",3501,185,108580,0.00170381285687972
"43","Ontario","Sudbury",3552,30,21260,0.00141110065851364
"44","Ontario","ThunderBay",3558,105,147105,0.000713775874375446
"45","Ontario","Timiskaming",3554,0,32795,0
"46","Ontario","Toronto",3520,76885,2476565,0.0310450159797946
"47","Ontario","Waterloo",3530,5475,473260,0.0115686937412839
"48","Ontario","Wellington",3523,1390,198630,0.00699793586064542
"49","Ontario","York",3519,22690,887345,0.0255706630453769
