"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,104445,116080,0.899767401791868
"2","Ontario","Brant",3529,106975,123320,0.867458644177749
"3","Ontario","Bruce",3541,59180,64555,0.916737665556502
"4","Ontario","Chatham-Kent",3536,95900,107150,0.895006999533364
"5","Ontario","Cochrane",3556,78780,81465,0.967041060578162
"6","Ontario","Dufferin",3522,46835,53920,0.868601632047478
"7","Ontario","Durham",3518,442085,557330,0.793219457054169
"8","Ontario","Elgin",3534,72605,84255,0.861729274227049
"9","Ontario","Essex",3537,296670,389585,0.761502624587702
"10","Ontario","Frontenac",3510,121675,140655,0.8650598983328
"11","Ontario","GreaterSudbury/GrandSudbury",3553,145210,156045,0.930564901150309
"12","Ontario","Grey",3542,82880,90900,0.911771177117712
"13","Ontario","Haldimand-Norfolk",3528,94355,106605,0.885089817550772
"14","Ontario","Haliburton",3546,14485,16000,0.9053125
"15","Ontario","Halton",3524,324320,435395,0.744886826904305
"16","Ontario","Hamilton",3525,366315,497400,0.73645958986731
"17","Ontario","Hastings",3512,118065,128795,0.91668931247331
"18","Ontario","Huron",3540,53690,58590,0.91636798088411
"19","Ontario","KawarthaLakes",3516,67265,73365,0.916854085735705
"20","Ontario","Kenora",3560,60935,64000,0.952109375
"21","Ontario","Lambton",3538,111480,126540,0.880986249407302
"22","Ontario","Lanark",3509,58180,62695,0.927984687774145
"23","Ontario","LeedsandGrenville",3507,89725,97680,0.918560606060606
"24","Ontario","LennoxandAddington",3511,36760,39275,0.935964353914704
"25","Ontario","Manitoulin",3551,12300,12940,0.950540958268934
"26","Ontario","Middlesex",3539,330030,417675,0.79015981325193
"27","Ontario","Muskoka",3544,51330,56275,0.912127943136384
"28","Ontario","Niagara",3526,342645,421750,0.81243627741553
"29","Ontario","Nipissing",3548,79140,83605,0.946594103223491
"30","Ontario","Northumberland",3514,70235,79075,0.888207398039836
"31","Ontario","Ottawa",3506,614840,801270,0.767331860671185
"32","Ontario","Oxford",3532,90155,101460,0.888576779026217
"33","Ontario","ParrySound",3549,37245,40415,0.921563775825807
"34","Ontario","Peel",3521,581880,1154070,0.504198185552003
"35","Ontario","Perth",3531,66405,73425,0.904392236976507
"36","Ontario","Peterborough",3515,118530,131525,0.901197490971298
"37","Ontario","PrescottandRussell",3502,75400,78745,0.957521112451584
"38","Ontario","PrinceEdward",3513,22515,24935,0.902947663926208
"39","Ontario","RainyRiver",3559,19650,21270,0.923836389280677
"40","Ontario","Renfrew",3547,90380,96330,0.938233156856639
"41","Ontario","Simcoe",3543,364055,417000,0.873033573141487
"42","Ontario","Stormont,DundasandGlengarry",3501,100440,108580,0.925032234297292
"43","Ontario","Sudbury",3552,20455,21260,0.962135465663217
"44","Ontario","ThunderBay",3558,132605,147105,0.901430950681486
"45","Ontario","Timiskaming",3554,31420,32795,0.958072876962952
"46","Ontario","Toronto",3520,1184230,2476565,0.478174406890189
"47","Ontario","Waterloo",3530,363790,473260,0.768689515277015
"48","Ontario","Wellington",3523,163880,198630,0.825051603483865
"49","Ontario","York",3519,499645,887345,0.563078622181902
