"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,60,116080,0.000516884906960717
"2","Ontario","Brant",3529,50,123320,0.000405449237755433
"3","Ontario","Bruce",3541,65,64555,0.00100689334675858
"4","Ontario","Chatham-Kent",3536,20,107150,0.000186654223051797
"5","Ontario","Cochrane",3556,15,81465,0.000184128153194623
"6","Ontario","Dufferin",3522,55,53920,0.0010200296735905
"7","Ontario","Durham",3518,650,557330,0.00116627491791219
"8","Ontario","Elgin",3534,75,84255,0.000890154886950329
"9","Ontario","Essex",3537,300,389585,0.000770050181603501
"10","Ontario","Frontenac",3510,150,140655,0.00106643915964594
"11","Ontario","GreaterSudbury/GrandSudbury",3553,50,156045,0.000320420391553718
"12","Ontario","Grey",3542,70,90900,0.00077007700770077
"13","Ontario","Haldimand-Norfolk",3528,30,106605,0.000281412691712396
"14","Ontario","Haliburton",3546,25,16000,0.0015625
"15","Ontario","Halton",3524,695,435395,0.00159625167950941
"16","Ontario","Hamilton",3525,485,497400,0.000975070365902694
"17","Ontario","Hastings",3512,85,128795,0.000659963507900151
"18","Ontario","Huron",3540,50,58590,0.000853387950162144
"19","Ontario","KawarthaLakes",3516,50,73365,0.000681523887412254
"20","Ontario","Kenora",3560,30,64000,0.00046875
"21","Ontario","Lambton",3538,115,126540,0.000908803540382488
"22","Ontario","Lanark",3509,70,62695,0.00111651646861791
"23","Ontario","LeedsandGrenville",3507,65,97680,0.000665438165438165
"24","Ontario","LennoxandAddington",3511,15,39275,0.000381922342457034
"25","Ontario","Manitoulin",3551,10,12940,0.000772797527047913
"26","Ontario","Middlesex",3539,710,417675,0.00169988627521398
"27","Ontario","Muskoka",3544,55,56275,0.00097734340293203
"28","Ontario","Niagara",3526,435,421750,0.00103141671606402
"29","Ontario","Nipissing",3548,80,83605,0.000956880569343939
"30","Ontario","Northumberland",3514,75,79075,0.00094846664558963
"31","Ontario","Ottawa",3506,890,801270,0.00111073670548005
"32","Ontario","Oxford",3532,80,101460,0.000788488074117879
"33","Ontario","ParrySound",3549,10,40415,0.000247432883830261
"34","Ontario","Peel",3521,2150,1154070,0.00186297191678148
"35","Ontario","Perth",3531,75,73425,0.00102145045965271
"36","Ontario","Peterborough",3515,125,131525,0.000950389659760502
"37","Ontario","PrescottandRussell",3502,15,78745,0.000190488284970474
"38","Ontario","PrinceEdward",3513,45,24935,0.00180469219971927
"39","Ontario","RainyRiver",3559,15,21270,0.000705218617771509
"40","Ontario","Renfrew",3547,75,96330,0.00077857365306758
"41","Ontario","Simcoe",3543,375,417000,0.000899280575539568
"42","Ontario","Stormont,DundasandGlengarry",3501,65,108580,0.000598636949714496
"43","Ontario","Sudbury",3552,0,21260,0
"44","Ontario","ThunderBay",3558,65,147105,0.000441861255565752
"45","Ontario","Timiskaming",3554,0,32795,0
"46","Ontario","Toronto",3520,4425,2476565,0.00178674898498525
"47","Ontario","Waterloo",3530,505,473260,0.0010670667286481
"48","Ontario","Wellington",3523,265,198630,0.00133413885113024
"49","Ontario","York",3519,1225,887345,0.00138052279553049
