"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,135,116080,0.00116299104066161
"2","Ontario","Brant",3529,250,123320,0.00202724618877717
"3","Ontario","Bruce",3541,20,64555,0.000309813337464178
"4","Ontario","Chatham-Kent",3536,175,107150,0.00163322445170322
"5","Ontario","Cochrane",3556,30,81465,0.000368256306389247
"6","Ontario","Dufferin",3522,190,53920,0.00352373887240356
"7","Ontario","Durham",3518,8380,557330,0.0150359750955448
"8","Ontario","Elgin",3534,335,84255,0.00397602516171147
"9","Ontario","Essex",3537,1340,389585,0.00343955747782897
"10","Ontario","Frontenac",3510,390,140655,0.00277274181507945
"11","Ontario","GreaterSudbury/GrandSudbury",3553,125,156045,0.000801050978884296
"12","Ontario","Grey",3542,85,90900,0.000935093509350935
"13","Ontario","Haldimand-Norfolk",3528,110,106605,0.00103184653627879
"14","Ontario","Haliburton",3546,10,16000,0.000625
"15","Ontario","Halton",3524,4205,435395,0.00965789685228356
"16","Ontario","Hamilton",3525,2750,497400,0.00552874949738641
"17","Ontario","Hastings",3512,145,128795,0.00112582010171202
"18","Ontario","Huron",3540,35,58590,0.000597371565113501
"19","Ontario","KawarthaLakes",3516,110,73365,0.00149935255230696
"20","Ontario","Kenora",3560,30,64000,0.00046875
"21","Ontario","Lambton",3538,215,126540,0.00169906748854117
"22","Ontario","Lanark",3509,65,62695,0.00103676529228806
"23","Ontario","LeedsandGrenville",3507,80,97680,0.000819000819000819
"24","Ontario","LennoxandAddington",3511,30,39275,0.000763844684914067
"25","Ontario","Manitoulin",3551,0,12940,0
"26","Ontario","Middlesex",3539,3430,417675,0.00821212665349853
"27","Ontario","Muskoka",3544,70,56275,0.00124389160373167
"28","Ontario","Niagara",3526,2830,421750,0.00671013633669235
"29","Ontario","Nipissing",3548,45,83605,0.000538245320255966
"30","Ontario","Northumberland",3514,175,79075,0.00221308883970914
"31","Ontario","Ottawa",3506,4935,801270,0.00615897263094837
"32","Ontario","Oxford",3532,115,101460,0.00113345160654445
"33","Ontario","ParrySound",3549,15,40415,0.000371149325745392
"34","Ontario","Peel",3521,32160,1154070,0.0278665938807871
"35","Ontario","Perth",3531,150,73425,0.00204290091930541
"36","Ontario","Peterborough",3515,215,131525,0.00163467021478806
"37","Ontario","PrescottandRussell",3502,95,78745,0.001206425804813
"38","Ontario","PrinceEdward",3513,10,24935,0.000401042711048727
"39","Ontario","RainyRiver",3559,0,21270,0
"40","Ontario","Renfrew",3547,90,96330,0.000934288383681096
"41","Ontario","Simcoe",3543,1365,417000,0.00327338129496403
"42","Ontario","Stormont,DundasandGlengarry",3501,90,108580,0.000828881930373918
"43","Ontario","Sudbury",3552,0,21260,0
"44","Ontario","ThunderBay",3558,140,147105,0.000951701165833928
"45","Ontario","Timiskaming",3554,15,32795,0.0004573867967678
"46","Ontario","Toronto",3520,73980,2476565,0.0298720203184653
"47","Ontario","Waterloo",3530,4475,473260,0.00945569031821832
"48","Ontario","Wellington",3523,755,198630,0.00380103710416352
"49","Ontario","York",3519,13300,887345,0.0149885332086167
