"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,1935,116080,0.0166695382494831
"2","Ontario","Brant",3529,3840,123320,0.0311385014596173
"3","Ontario","Bruce",3541,2115,64555,0.0327627604368368
"4","Ontario","Chatham-Kent",3536,1425,107150,0.0132991133924405
"5","Ontario","Cochrane",3556,410,81465,0.00503283618731971
"6","Ontario","Dufferin",3522,2775,53920,0.0514651335311573
"7","Ontario","Durham",3518,23765,557330,0.0426408052679741
"8","Ontario","Elgin",3534,1705,84255,0.0202361877633375
"9","Ontario","Essex",3537,6390,389585,0.0164020688681546
"10","Ontario","Frontenac",3510,4250,140655,0.0302157761899684
"11","Ontario","GreaterSudbury/GrandSudbury",3553,1465,156045,0.00938831747252395
"12","Ontario","Grey",3542,2700,90900,0.0297029702970297
"13","Ontario","Haldimand-Norfolk",3528,2855,106605,0.026781107827963
"14","Ontario","Haliburton",3546,560,16000,0.035
"15","Ontario","Halton",3524,25435,435395,0.0584182179400315
"16","Ontario","Hamilton",3525,17070,497400,0.0343184559710495
"17","Ontario","Hastings",3512,3390,128795,0.0263208975503707
"18","Ontario","Huron",3540,1310,58590,0.0223587642942482
"19","Ontario","KawarthaLakes",3516,2390,73365,0.0325768418183057
"20","Ontario","Kenora",3560,460,64000,0.0071875
"21","Ontario","Lambton",3538,4245,126540,0.0335467045993362
"22","Ontario","Lanark",3509,1785,62695,0.0284711699497568
"23","Ontario","LeedsandGrenville",3507,2775,97680,0.0284090909090909
"24","Ontario","LennoxandAddington",3511,970,39275,0.0246976448122215
"25","Ontario","Manitoulin",3551,175,12940,0.0135239567233385
"26","Ontario","Middlesex",3539,13415,417675,0.0321182737774586
"27","Ontario","Muskoka",3544,1635,56275,0.0290537538871613
"28","Ontario","Niagara",3526,15725,421750,0.0372851215174867
"29","Ontario","Nipissing",3548,865,83605,0.0103462711560313
"30","Ontario","Northumberland",3514,4010,79075,0.0507113499841922
"31","Ontario","Ottawa",3506,18495,801270,0.0230821071548916
"32","Ontario","Oxford",3532,2480,101460,0.0244431302976542
"33","Ontario","ParrySound",3549,1000,40415,0.0247432883830261
"34","Ontario","Peel",3521,29010,1154070,0.0251371233980608
"35","Ontario","Perth",3531,1715,73425,0.0233571671773919
"36","Ontario","Peterborough",3515,4335,131525,0.0329595134004942
"37","Ontario","PrescottandRussell",3502,605,78745,0.00768302749380913
"38","Ontario","PrinceEdward",3513,1055,24935,0.0423100060156407
"39","Ontario","RainyRiver",3559,260,21270,0.0122237893747062
"40","Ontario","Renfrew",3547,1605,96330,0.0166614761756462
"41","Ontario","Simcoe",3543,15255,417000,0.0365827338129496
"42","Ontario","Stormont,DundasandGlengarry",3501,1540,108580,0.0141830908086204
"43","Ontario","Sudbury",3552,145,21260,0.0068203198494826
"44","Ontario","ThunderBay",3558,1815,147105,0.0123381258284899
"45","Ontario","Timiskaming",3554,325,32795,0.00991004726330233
"46","Ontario","Toronto",3520,52355,2476565,0.0211401679342153
"47","Ontario","Waterloo",3530,12745,473260,0.0269302286269704
"48","Ontario","Wellington",3523,7405,198630,0.0372803705381866
"49","Ontario","York",3519,17665,887345,0.0199077021902417
