"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Ontario","Algoma",3557,1095,116080,0.00943314955203308
"2","Ontario","Brant",3529,1010,123320,0.00819007460265975
"3","Ontario","Bruce",3541,485,64555,0.00751297343350631
"4","Ontario","Chatham-Kent",3536,1035,107150,0.00965935604293047
"5","Ontario","Cochrane",3556,185,81465,0.00227091388940036
"6","Ontario","Dufferin",3522,380,53920,0.00704747774480712
"7","Ontario","Durham",3518,3685,557330,0.00661188165000987
"8","Ontario","Elgin",3534,695,84255,0.00824876861907305
"9","Ontario","Essex",3537,7635,389585,0.0195977771218091
"10","Ontario","Frontenac",3510,1540,140655,0.010948775372365
"11","Ontario","GreaterSudbury/GrandSudbury",3553,630,156045,0.00403729693357685
"12","Ontario","Grey",3542,770,90900,0.00847084708470847
"13","Ontario","Haldimand-Norfolk",3528,710,106605,0.00666010037052671
"14","Ontario","Haliburton",3546,110,16000,0.006875
"15","Ontario","Halton",3524,4960,435395,0.0113919544321823
"16","Ontario","Hamilton",3525,3990,497400,0.00802171290711701
"17","Ontario","Hastings",3512,820,128795,0.00636670678209558
"18","Ontario","Huron",3540,320,58590,0.00546168288103772
"19","Ontario","KawarthaLakes",3516,285,73365,0.00388468615824985
"20","Ontario","Kenora",3560,720,64000,0.01125
"21","Ontario","Lambton",3538,1705,126540,0.0134740003161056
"22","Ontario","Lanark",3509,530,62695,0.00845362469096419
"23","Ontario","LeedsandGrenville",3507,1105,97680,0.0113124488124488
"24","Ontario","LennoxandAddington",3511,260,39275,0.00661998726925525
"25","Ontario","Manitoulin",3551,180,12940,0.0139103554868624
"26","Ontario","Middlesex",3539,3990,417675,0.00955288202549829
"27","Ontario","Muskoka",3544,520,56275,0.00924033762772101
"28","Ontario","Niagara",3526,6450,421750,0.0152934202726734
"29","Ontario","Nipissing",3548,610,83605,0.00729621434124753
"30","Ontario","Northumberland",3514,550,79075,0.00695542206765729
"31","Ontario","Ottawa",3506,7865,801270,0.00981566762764112
"32","Ontario","Oxford",3532,745,101460,0.00734279519022275
"33","Ontario","ParrySound",3549,355,40415,0.00878386737597427
"34","Ontario","Peel",3521,7460,1154070,0.00646407930194876
"35","Ontario","Perth",3531,530,73425,0.00721824991487913
"36","Ontario","Peterborough",3515,1130,131525,0.00859152252423494
"37","Ontario","PrescottandRussell",3502,315,78745,0.00400025398437996
"38","Ontario","PrinceEdward",3513,205,24935,0.0082213755764989
"39","Ontario","RainyRiver",3559,780,21270,0.0366713681241185
"40","Ontario","Renfrew",3547,715,96330,0.00742240215924426
"41","Ontario","Simcoe",3543,2745,417000,0.00658273381294964
"42","Ontario","Stormont,DundasandGlengarry",3501,850,108580,0.00782832934242034
"43","Ontario","Sudbury",3552,60,21260,0.00282220131702728
"44","Ontario","ThunderBay",3558,1180,147105,0.00802148125488597
"45","Ontario","Timiskaming",3554,145,32795,0.00442140570208873
"46","Ontario","Toronto",3520,22635,2476565,0.00913967531641608
"47","Ontario","Waterloo",3530,3900,473260,0.00824071334995563
"48","Ontario","Wellington",3523,1585,198630,0.00797966067562805
"49","Ontario","York",3519,6230,887345,0.00702094450298362
