"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,0,23920,0
"2","Quebec","Abitibi-Ouest",2487,15,20455,0.000733317037399169
"3","Quebec","Acton",2448,35,14995,0.00233411137045682
"4","Quebec","Antoine-Labelle",2479,20,34545,0.000578954986249819
"5","Quebec","Argenteuil",2476,35,29465,0.00118784999151536
"6","Quebec","Arthabaska",2439,40,65075,0.000614675374567806
"7","Quebec","Avignon",2406,30,14415,0.00208116545265349
"8","Quebec","Beauce-Sartigan",2429,20,49090,0.000407414952128743
"9","Quebec","Beauharnois-Salaberry",2470,45,59410,0.000757448241036862
"10","Quebec","Bécancour",2438,30,18510,0.00162074554294976
"11","Quebec","Bellechasse",2419,40,32675,0.00122417750573833
"12","Quebec","Bonaventure",2405,0,17730,0
"13","Quebec","Brome-Missisquoi",2446,65,45405,0.00143156040083691
"14","Quebec","Charlevoix",2416,10,12910,0.000774593338497289
"15","Quebec","Charlevoix-Est",2415,0,16165,0
"16","Quebec","Coaticook",2444,10,18125,0.000551724137931035
"17","Quebec","D'Autray",2452,25,39800,0.000628140703517588
"18","Quebec","Deux-Montagnes",2472,290,86570,0.00334989026221555
"19","Quebec","Drummond",2449,160,91055,0.0017571797265389
"20","Quebec","Francheville",2437,670,140260,0.00477684300584629
"21","Quebec","Gatineau",2481,3840,239980,0.0160013334444537
"22","Quebec","Joliette",2461,240,57125,0.00420131291028446
"23","Quebec","Kamouraska",2414,10,21580,0.00046339202965709
"24","Quebec","L'Assomption",2460,535,108815,0.00491660157147452
"25","Quebec","L'Érable",2432,15,22725,0.00066006600660066
"26","Quebec","L'Île-d'Orléans",2420,15,6780,0.00221238938053097
"27","Quebec","L'Islet",2417,25,18505,0.00135098621994056
"28","Quebec","Lac-Saint-Jean-Est",2493,25,50625,0.000493827160493827
"29","Quebec","LaCôte-de-Beaupré",2421,55,22630,0.00243040212107821
"30","Quebec","LaCôte-de-Gaspé",2403,60,17635,0.00340232492203005
"31","Quebec","LaHaute-Côte-Nord",2495,10,12240,0.000816993464052288
"32","Quebec","LaHaute-Gaspésie",2404,0,12160,0
"33","Quebec","LaHaute-Yamaska",2447,355,83690,0.00424184490381169
"34","Quebec","LaJacques-Cartier",2422,55,29685,0.00185278760316658
"35","Quebec","Lajemmerais",2459,155,69490,0.00223053676788027
"36","Quebec","LaMatapédia",2407,10,18815,0.000531490831783152
"37","Quebec","LaMitis",2409,0,18815,0
"38","Quebec","LaNouvelle-Beauce",2426,10,31095,0.000321595111754301
"39","Quebec","LaRivière-du-Nord",2475,195,100205,0.00194601067810987
"40","Quebec","LaTuque",2490,15,15240,0.000984251968503937
"41","Quebec","Laval",2465,8970,364620,0.0246009544182985
"42","Quebec","LaVallée-de-l'Or",2489,25,41280,0.00060562015503876
"43","Quebec","LaVallée-de-la-Gatineau",2483,0,20390,0
"44","Quebec","LaVallée-du-Richelieu",2457,365,105870,0.00344762444507415
"45","Quebec","LeDomaine-du-Roy",2491,10,31415,0.000318319274232055
"46","Quebec","LeGranit",2430,30,22125,0.00135593220338983
"47","Quebec","LeHaut-Richelieu",2456,235,107390,0.00218828568768042
"48","Quebec","LeHaut-Saint-François",2441,10,21465,0.000465874679711158
"49","Quebec","LeHaut-Saint-Laurent",2469,35,21740,0.0016099356025759
"50","Quebec","LeRocher-Percé",2402,10,18270,0.000547345374931582
"51","Quebec","LeSaguenay-et-son-Fjord",2494,245,161625,0.00151585460170147
"52","Quebec","LesBasques",2411,0,9125,0
"53","Quebec","LesCollines-de-l'Outaouais",2482,65,41840,0.00155353728489484
"54","Quebec","LesEtchemins",2428,10,17190,0.00058173356602676
"55","Quebec","LesÎles-de-la-Madeleine",2401,25,12975,0.00192678227360308
"56","Quebec","LesJardins-de-Napierville",2468,15,23880,0.000628140703517588
"57","Quebec","LesLaurentides",2478,130,42445,0.00306278713629403
"58","Quebec","LesMaskoutains",2454,410,78935,0.00519414708304301
"59","Quebec","LesMoulins",2464,475,127990,0.00371122743964372
"60","Quebec","LesPays-d'en-Haut",2477,135,36125,0.00373702422145329
"61","Quebec","LeVal-Saint-François",2442,30,28760,0.00104311543810848
"62","Quebec","Lévis",2425,235,128375,0.00183057448880234
"63","Quebec","Longueuil",2458,9300,381280,0.0243915232899706
"64","Quebec","Lotbinière",2433,0,26790,0
"65","Quebec","Manicouagan",2496,30,32695,0.00091757149411225
"66","Quebec","Maria-Chapdelaine",2492,15,25545,0.000587199060481503
"67","Quebec","Maskinongé",2451,20,34810,0.00057454754380925
"68","Quebec","Matane",2408,0,21880,0
"69","Quebec","Matawinie",2462,60,49255,0.00121815044157953
"70","Quebec","Mékinac",2435,20,12425,0.00160965794768612
"71","Quebec","Memphrémagog",2445,60,44745,0.00134093194770365
"72","Quebec","Mirabel",2474,40,34475,0.00116026105873822
"73","Quebec","Montcalm",2463,65,42220,0.00153955471340597
"74","Quebec","Montmagny",2418,0,22650,0
