"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,60,23920,0.00250836120401338
"2","Quebec","Abitibi-Ouest",2487,10,20455,0.000488878024932779
"3","Quebec","Acton",2448,10,14995,0.000666888962987663
"4","Quebec","Antoine-Labelle",2479,20,34545,0.000578954986249819
"5","Quebec","Argenteuil",2476,40,29465,0.00135754284744612
"6","Quebec","Arthabaska",2439,85,65075,0.00130618517095659
"7","Quebec","Avignon",2406,40,14415,0.00277488727020465
"8","Quebec","Beauce-Sartigan",2429,30,49090,0.000611122428193115
"9","Quebec","Beauharnois-Salaberry",2470,210,59410,0.00353475845817202
"10","Quebec","Bécancour",2438,35,18510,0.00189086980010805
"11","Quebec","Bellechasse",2419,65,32675,0.00198928844682479
"12","Quebec","Bonaventure",2405,40,17730,0.00225606316976875
"13","Quebec","Brome-Missisquoi",2446,145,45405,0.00319348089417465
"14","Quebec","Charlevoix",2416,30,12910,0.00232378001549187
"15","Quebec","Charlevoix-Est",2415,10,16165,0.000618620476337767
"16","Quebec","Coaticook",2444,25,18125,0.00137931034482759
"17","Quebec","D'Autray",2452,100,39800,0.00251256281407035
"18","Quebec","Deux-Montagnes",2472,610,86570,0.00704632089638443
"19","Quebec","Drummond",2449,160,91055,0.0017571797265389
"20","Quebec","Francheville",2437,375,140260,0.00267360615998859
"21","Quebec","Gatineau",2481,5165,239980,0.0215226268855738
"22","Quebec","Joliette",2461,150,57125,0.00262582056892779
"23","Quebec","Kamouraska",2414,75,21580,0.00347544022242817
"24","Quebec","L'Assomption",2460,415,108815,0.00381381243394753
"25","Quebec","L'Érable",2432,60,22725,0.00264026402640264
"26","Quebec","L'Île-d'Orléans",2420,45,6780,0.00663716814159292
"27","Quebec","L'Islet",2417,15,18505,0.000810591731964334
"28","Quebec","Lac-Saint-Jean-Est",2493,130,50625,0.0025679012345679
"29","Quebec","LaCôte-de-Beaupré",2421,25,22630,0.00110472823685373
"30","Quebec","LaCôte-de-Gaspé",2403,25,17635,0.00141763538417919
"31","Quebec","LaHaute-Côte-Nord",2495,10,12240,0.000816993464052288
"32","Quebec","LaHaute-Gaspésie",2404,10,12160,0.000822368421052632
"33","Quebec","LaHaute-Yamaska",2447,400,83690,0.00477954355359063
"34","Quebec","LaJacques-Cartier",2422,55,29685,0.00185278760316658
"35","Quebec","Lajemmerais",2459,300,69490,0.00431716793783278
"36","Quebec","LaMatapédia",2407,10,18815,0.000531490831783152
"37","Quebec","LaMitis",2409,10,18815,0.000531490831783152
"38","Quebec","LaNouvelle-Beauce",2426,25,31095,0.000803987779385753
"39","Quebec","LaRivière-du-Nord",2475,245,100205,0.00244498777506112
"40","Quebec","LaTuque",2490,30,15240,0.00196850393700787
"41","Quebec","Laval",2465,21740,364620,0.0596237178432341
"42","Quebec","LaVallée-de-l'Or",2489,110,41280,0.00266472868217054
"43","Quebec","LaVallée-de-la-Gatineau",2483,0,20390,0
"44","Quebec","LaVallée-du-Richelieu",2457,460,105870,0.00434495135543591
"45","Quebec","LeDomaine-du-Roy",2491,50,31415,0.00159159637116027
"46","Quebec","LeGranit",2430,10,22125,0.000451977401129943
"47","Quebec","LeHaut-Richelieu",2456,480,107390,0.00446968991526213
"48","Quebec","LeHaut-Saint-François",2441,45,21465,0.00209643605870021
"49","Quebec","LeHaut-Saint-Laurent",2469,45,21740,0.00206991720331187
"50","Quebec","LeRocher-Percé",2402,25,18270,0.00136836343732895
"51","Quebec","LeSaguenay-et-son-Fjord",2494,400,161625,0.00247486465583913
"52","Quebec","LesBasques",2411,10,9125,0.0010958904109589
"53","Quebec","LesCollines-de-l'Outaouais",2482,135,41840,0.00322657743785851
"54","Quebec","LesEtchemins",2428,20,17190,0.00116346713205352
"55","Quebec","LesÎles-de-la-Madeleine",2401,10,12975,0.000770712909441233
"56","Quebec","LesJardins-de-Napierville",2468,95,23880,0.00397822445561139
"57","Quebec","LesLaurentides",2478,105,42445,0.00247378961008364
"58","Quebec","LesMaskoutains",2454,185,78935,0.00234370051308038
"59","Quebec","LesMoulins",2464,460,127990,0.00359403078365497
"60","Quebec","LesPays-d'en-Haut",2477,185,36125,0.00512110726643599
"61","Quebec","LeVal-Saint-François",2442,50,28760,0.00173852573018081
"62","Quebec","Lévis",2425,345,128375,0.00268743914313535
"63","Quebec","Longueuil",2458,19770,381280,0.0518516575744859
"64","Quebec","Lotbinière",2433,35,26790,0.00130645763344532
"65","Quebec","Manicouagan",2496,45,32695,0.00137635724116837
"66","Quebec","Maria-Chapdelaine",2492,65,25545,0.00254452926208651
"67","Quebec","Maskinongé",2451,50,34810,0.00143636885952313
"68","Quebec","Matane",2408,20,21880,0.000914076782449726
"69","Quebec","Matawinie",2462,35,49255,0.000710587757588062
"70","Quebec","Mékinac",2435,10,12425,0.000804828973843058
"71","Quebec","Memphrémagog",2445,140,44745,0.00312884121130853
"72","Quebec","Mirabel",2474,125,34475,0.00362581580855693
"73","Quebec","Montcalm",2463,70,42220,0.00165798199905258
"74","Quebec","Montmagny",2418,40,22650,0.00176600441501104
"75","Quebec","Montréal",2466,168270,1823900,0.0922583474971216
