"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,23160,23920,0.968227424749164
"2","Quebec","Abitibi-Ouest",2487,19730,20455,0.964556343192373
"3","Quebec","Acton",2448,14410,14995,0.960986995665222
"4","Quebec","Antoine-Labelle",2479,33345,34545,0.965262700825011
"5","Quebec","Argenteuil",2476,23600,29465,0.800950279993212
"6","Quebec","Arthabaska",2439,62995,65075,0.968036880522474
"7","Quebec","Avignon",2406,10280,14415,0.713146028442595
"8","Quebec","Beauce-Sartigan",2429,48060,49090,0.97901812996537
"9","Quebec","Beauharnois-Salaberry",2470,56510,59410,0.951186668910958
"10","Quebec","Bécancour",2438,17890,18510,0.966504592112372
"11","Quebec","Bellechasse",2419,32025,32675,0.980107115531752
"12","Quebec","Bonaventure",2405,16745,17730,0.944444444444444
"13","Quebec","Brome-Missisquoi",2446,41525,45405,0.91454685607312
"14","Quebec","Charlevoix",2416,12710,12910,0.984508133230054
"15","Quebec","Charlevoix-Est",2415,15700,16165,0.971234147850294
"16","Quebec","Coaticook",2444,17150,18125,0.946206896551724
"17","Quebec","D'Autray",2452,38270,39800,0.961557788944724
"18","Quebec","Deux-Montagnes",2472,80510,86570,0.929998844865427
"19","Quebec","Drummond",2449,87145,91055,0.957058920432705
"20","Quebec","Francheville",2437,134900,140260,0.96178525595323
"21","Quebec","Gatineau",2481,161960,239980,0.674889574131178
"22","Quebec","Joliette",2461,55030,57125,0.963326039387309
"23","Quebec","Kamouraska",2414,20975,21580,0.971964782205746
"24","Quebec","L'Assomption",2460,103275,108815,0.94908790148417
"25","Quebec","L'Érable",2432,22135,22725,0.974037403740374
"26","Quebec","L'Île-d'Orléans",2420,6425,6780,0.9476401179941
"27","Quebec","L'Islet",2417,18230,18505,0.985139151580654
"28","Quebec","Lac-Saint-Jean-Est",2493,49720,50625,0.982123456790123
"29","Quebec","LaCôte-de-Beaupré",2421,21940,22630,0.969509500662837
"30","Quebec","LaCôte-de-Gaspé",2403,17100,17635,0.969662602778565
"31","Quebec","LaHaute-Côte-Nord",2495,12020,12240,0.98202614379085
"32","Quebec","LaHaute-Gaspésie",2404,11965,12160,0.983963815789474
"33","Quebec","LaHaute-Yamaska",2447,79050,83690,0.944557294778349
"34","Quebec","LaJacques-Cartier",2422,27585,29685,0.929257200606367
"35","Quebec","Lajemmerais",2459,65940,69490,0.948913512735645
"36","Quebec","LaMatapédia",2407,18305,18815,0.972893967579059
"37","Quebec","LaMitis",2409,18360,18815,0.975817167153867
"38","Quebec","LaNouvelle-Beauce",2426,30510,31095,0.981186685962373
"39","Quebec","LaRivière-du-Nord",2475,95125,100205,0.949303926949753
