"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,580,23920,0.024247491638796
"2","Quebec","Abitibi-Ouest",2487,540,20455,0.0263994133463701
"3","Quebec","Acton",2448,285,14995,0.0190063354451484
"4","Quebec","Antoine-Labelle",2479,715,34545,0.020697640758431
"5","Quebec","Argenteuil",2476,4905,29465,0.166468691668081
"6","Quebec","Arthabaska",2439,855,65075,0.0131386861313869
"7","Quebec","Avignon",2406,3900,14415,0.270551508844953
"8","Quebec","Beauce-Sartigan",2429,505,49090,0.0102872275412508
"9","Quebec","Beauharnois-Salaberry",2470,1840,59410,0.0309712169668406
"10","Quebec","Bécancour",2438,175,18510,0.00945434900054025
"11","Quebec","Bellechasse",2419,245,32675,0.00749808722264728
"12","Quebec","Bonaventure",2405,805,17730,0.0454032712915962
"13","Quebec","Brome-Missisquoi",2446,1540,45405,0.0339169694967515
"14","Quebec","Charlevoix",2416,75,12910,0.00580945003872967
"15","Quebec","Charlevoix-Est",2415,240,16165,0.0148468914321064
"16","Quebec","Coaticook",2444,350,18125,0.0193103448275862
"17","Quebec","D'Autray",2452,675,39800,0.0169597989949749
"18","Quebec","Deux-Montagnes",2472,2530,86570,0.0292249047013977
"19","Quebec","Drummond",2449,1235,91055,0.0135632310142222
"20","Quebec","Francheville",2437,2065,140260,0.0147226579210038
"21","Quebec","Gatineau",2481,56540,239980,0.23560296691391
"22","Quebec","Joliette",2461,780,57125,0.0136542669584245
"23","Quebec","Kamouraska",2414,355,21580,0.0164504170528267
"24","Quebec","L'Assomption",2460,1855,108815,0.0170472820842715
"25","Quebec","L'Érable",2432,200,22725,0.0088008800880088
"26","Quebec","L'Île-d'Orléans",2420,135,6780,0.0199115044247788
"27","Quebec","L'Islet",2417,160,18505,0.00864631180761956
"28","Quebec","Lac-Saint-Jean-Est",2493,560,50625,0.0110617283950617
"29","Quebec","LaCôte-de-Beaupré",2421,265,22630,0.0117101193106496
"30","Quebec","LaCôte-de-Gaspé",2403,330,17635,0.0187127870711653
"31","Quebec","LaHaute-Côte-Nord",2495,155,12240,0.0126633986928105
"32","Quebec","LaHaute-Gaspésie",2404,130,12160,0.0106907894736842
"33","Quebec","LaHaute-Yamaska",2447,1640,83690,0.0195961285697216
"34","Quebec","LaJacques-Cartier",2422,1275,29685,0.0429509853461344
"35","Quebec","Lajemmerais",2459,1625,69490,0.0233846596632609
"36","Quebec","LaMatapédia",2407,440,18815,0.0233855965984587
"37","Quebec","LaMitis",2409,320,18815,0.0170077066170609
"38","Quebec","LaNouvelle-Beauce",2426,300,31095,0.00964785335262904
"39","Quebec","LaRivière-du-Nord",2475,2260,100205,0.0225537647821965
"40","Quebec","LaTuque",2490,145,15240,0.00951443569553806
"41","Quebec","Laval",2465,8420,364620,0.0230925346936537
"42","Quebec","LaVallée-de-l'Or",2489,1385,41280,0.0335513565891473
"43","Quebec","LaVallée-de-la-Gatineau",2483,2255,20390,0.110593428151054
"44","Quebec","LaVallée-du-Richelieu",2457,2870,105870,0.0271087182393501
"45","Quebec","LeDomaine-du-Roy",2491,260,31415,0.00827630113003342
"46","Quebec","LeGranit",2430,230,22125,0.0103954802259887
"47","Quebec","LeHaut-Richelieu",2456,2790,107390,0.0259800726324611
"48","Quebec","LeHaut-Saint-François",2441,395,21465,0.0184020498485907
"49","Quebec","LeHaut-Saint-Laurent",2469,1015,21740,0.046688132474701
"50","Quebec","LeRocher-Percé",2402,280,18270,0.0153256704980843
"51","Quebec","LeSaguenay-et-son-Fjord",2494,2550,161625,0.0157772621809745
"52","Quebec","LesBasques",2411,135,9125,0.0147945205479452
"53","Quebec","LesCollines-de-l'Outaouais",2482,12560,41840,0.30019120458891
"54","Quebec","LesEtchemins",2428,170,17190,0.00988947062245491
"55","Quebec","LesÎles-de-la-Madeleine",2401,250,12975,0.0192678227360308
"56","Quebec","LesJardins-de-Napierville",2468,500,23880,0.0209380234505863
"57","Quebec","LesLaurentides",2478,1290,42445,0.0303922723524561
"58","Quebec","LesMaskoutains",2454,1185,78935,0.0150123519351365
"59","Quebec","LesMoulins",2464,2510,127990,0.0196109071021174
"60","Quebec","LesPays-d'en-Haut",2477,1485,36125,0.0411072664359862
"61","Quebec","LeVal-Saint-François",2442,435,28760,0.015125173852573
"62","Quebec","Lévis",2425,2635,128375,0.0205258033106134
"63","Quebec","Longueuil",2458,12465,381280,0.03269250944188
"64","Quebec","Lotbinière",2433,260,26790,0.00970511384845092
"65","Quebec","Manicouagan",2496,625,32695,0.0191160727940052
"66","Quebec","Maria-Chapdelaine",2492,235,25545,0.00919945194754355
"67","Quebec","Maskinongé",2451,310,34810,0.00890548692904338
"68","Quebec","Matane",2408,400,21880,0.0182815356489945
"69","Quebec","Matawinie",2462,865,49255,0.017561668866105
"70","Quebec","Mékinac",2435,150,12425,0.0120724346076459
"71","Quebec","Memphrémagog",2445,1310,44745,0.0292770141915298
"72","Quebec","Mirabel",2474,815,34475,0.0236403190717912
"73","Quebec","Montcalm",2463,830,42220,0.0196589294173378
"74","Quebec","Montmagny",2418,225,22650,0.00993377483443709
"75","Quebec","Montréal",2466,77580,1823900,0.0425352267119908
"76","Quebec","Nicolet-Yamaska",2450,260,22280,0.0116696588868941
"77","Quebec","Nord-du-Québec",2499,2965,39555,0.0749589179623309
"78","Quebec","Papineau",2480,2110,21540,0.0979572887650882
"79","Quebec","Pontiac",2484,5155,14435,0.357118115691029
"80","Quebec","Portneuf",2434,590,45430,0.012987012987013
"81","Quebec","Québec",2423,11895,516010,0.0230518788395574
"82","Quebec","Rimouski-Neigette",2410,995,52170,0.0190722637531148
"83","Quebec","Rivière-du-Loup",2412,610,32450,0.0187981510015408
"84","Quebec","Robert-Cliche",2427,130,18510,0.00702323068611561
"85","Quebec","Roussillon",2467,4810,148560,0.0323774905761982
"86","Quebec","Rouville",2455,615,30825,0.0199513381995134
"87","Quebec","Rouyn-Noranda",2486,1640,39445,0.0415768791988845
"88","Quebec","Sept-Rivières--Caniapiscau",2497,1445,38105,0.0379215326072694
"89","Quebec","Shawinigan",2436,605,50195,0.0120529933260285
"90","Quebec","Sherbrooke",2443,3240,144595,0.0224074138109893
"91","Quebec","Témiscamingue",2485,2265,16775,0.135022354694486
