"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,0,23920,0
"2","Quebec","Abitibi-Ouest",2487,0,20455,0
"3","Quebec","Acton",2448,0,14995,0
"4","Quebec","Antoine-Labelle",2479,0,34545,0
"5","Quebec","Argenteuil",2476,10,29465,0.000339385711861531
"6","Quebec","Arthabaska",2439,0,65075,0
"7","Quebec","Avignon",2406,0,14415,0
"8","Quebec","Beauce-Sartigan",2429,10,49090,0.000203707476064372
"9","Quebec","Beauharnois-Salaberry",2470,50,59410,0.000841609156707625
"10","Quebec","Bécancour",2438,0,18510,0
"11","Quebec","Bellechasse",2419,0,32675,0
"12","Quebec","Bonaventure",2405,0,17730,0
"13","Quebec","Brome-Missisquoi",2446,35,45405,0.00077084021583526
"14","Quebec","Charlevoix",2416,0,12910,0
"15","Quebec","Charlevoix-Est",2415,0,16165,0
"16","Quebec","Coaticook",2444,10,18125,0.000551724137931035
"17","Quebec","D'Autray",2452,10,39800,0.000251256281407035
"18","Quebec","Deux-Montagnes",2472,65,86570,0.000750837472565554
"19","Quebec","Drummond",2449,45,91055,0.000494206798089067
"20","Quebec","Francheville",2437,105,140260,0.000748609724796806
"21","Quebec","Gatineau",2481,850,239980,0.00354196183015251
"22","Quebec","Joliette",2461,55,57125,0.000962800875273523
"23","Quebec","Kamouraska",2414,0,21580,0
"24","Quebec","L'Assomption",2460,120,108815,0.001102789137527
"25","Quebec","L'Érable",2432,10,22725,0.00044004400440044
"26","Quebec","L'Île-d'Orléans",2420,0,6780,0
"27","Quebec","L'Islet",2417,0,18505,0
"28","Quebec","Lac-Saint-Jean-Est",2493,30,50625,0.000592592592592593
"29","Quebec","LaCôte-de-Beaupré",2421,0,22630,0
"30","Quebec","LaCôte-de-Gaspé",2403,0,17635,0
"31","Quebec","LaHaute-Côte-Nord",2495,10,12240,0.000816993464052288
"32","Quebec","LaHaute-Gaspésie",2404,0,12160,0
"33","Quebec","LaHaute-Yamaska",2447,70,83690,0.000836420121878361
"34","Quebec","LaJacques-Cartier",2422,20,29685,0.00067374094660603
"35","Quebec","Lajemmerais",2459,60,69490,0.000863433587566556
"36","Quebec","LaMatapédia",2407,0,18815,0
"37","Quebec","LaMitis",2409,0,18815,0
"38","Quebec","LaNouvelle-Beauce",2426,15,31095,0.000482392667631452
"39","Quebec","LaRivière-du-Nord",2475,65,100205,0.000648670226036625
"40","Quebec","LaTuque",2490,0,15240,0
"41","Quebec","Laval",2465,2180,364620,0.00597882727222862
"42","Quebec","LaVallée-de-l'Or",2489,0,41280,0
"43","Quebec","LaVallée-de-la-Gatineau",2483,10,20390,0.000490436488474743
"44","Quebec","LaVallée-du-Richelieu",2457,150,105870,0.0014168319637291
"45","Quebec","LeDomaine-du-Roy",2491,10,31415,0.000318319274232055
"46","Quebec","LeGranit",2430,10,22125,0.000451977401129943
"47","Quebec","LeHaut-Richelieu",2456,100,107390,0.000931185399012944
"48","Quebec","LeHaut-Saint-François",2441,10,21465,0.000465874679711158
"49","Quebec","LeHaut-Saint-Laurent",2469,0,21740,0
"50","Quebec","LeRocher-Percé",2402,0,18270,0
"51","Quebec","LeSaguenay-et-son-Fjord",2494,70,161625,0.000433101314771848
"52","Quebec","LesBasques",2411,0,9125,0
"53","Quebec","LesCollines-de-l'Outaouais",2482,60,41840,0.001434034416826
"54","Quebec","LesEtchemins",2428,0,17190,0
"55","Quebec","LesÎles-de-la-Madeleine",2401,0,12975,0
"56","Quebec","LesJardins-de-Napierville",2468,15,23880,0.000628140703517588
"57","Quebec","LesLaurentides",2478,15,42445,0.000353398515726234
"58","Quebec","LesMaskoutains",2454,125,78935,0.00158358142775702
"59","Quebec","LesMoulins",2464,295,127990,0.00230486756777873
"60","Quebec","LesPays-d'en-Haut",2477,30,36125,0.000830449826989619
"61","Quebec","LeVal-Saint-François",2442,0,28760,0
"62","Quebec","Lévis",2425,60,128375,0.000467380720545278
"63","Quebec","Longueuil",2458,1460,381280,0.00382920688208141
"64","Quebec","Lotbinière",2433,10,26790,0.000373273609555804
"65","Quebec","Manicouagan",2496,10,32695,0.000305857164704083
"66","Quebec","Maria-Chapdelaine",2492,0,25545,0
"67","Quebec","Maskinongé",2451,0,34810,0
"68","Quebec","Matane",2408,0,21880,0
"69","Quebec","Matawinie",2462,15,49255,0.000304537610394884
"70","Quebec","Mékinac",2435,0,12425,0
"71","Quebec","Memphrémagog",2445,40,44745,0.000893954631802436
"72","Quebec","Mirabel",2474,20,34475,0.000580130529369108
"73","Quebec","Montcalm",2463,20,42220,0.000473709142586452
"74","Quebec","Montmagny",2418,0,22650,0
"75","Quebec","Montréal",2466,20310,1823900,0.0111354789188004
"76","Quebec","Nicolet-Yamaska",2450,0,22280,0
"77","Quebec","Nord-du-Québec",2499,10,39555,0.000252812539501959
"78","Quebec","Papineau",2480,0,21540,0
"79","Quebec","Pontiac",2484,10,14435,0.000692760651195012
"80","Quebec","Portneuf",2434,10,45430,0.000220118864186661
"81","Quebec","Québec",2423,810,516010,0.00156973702060038
