"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,20,23920,0.000836120401337793
"2","Quebec","Abitibi-Ouest",2487,0,20455,0
"3","Quebec","Acton",2448,0,14995,0
"4","Quebec","Antoine-Labelle",2479,0,34545,0
"5","Quebec","Argenteuil",2476,10,29465,0.000339385711861531
"6","Quebec","Arthabaska",2439,60,65075,0.00092201306185171
"7","Quebec","Avignon",2406,30,14415,0.00208116545265349
"8","Quebec","Beauce-Sartigan",2429,20,49090,0.000407414952128743
"9","Quebec","Beauharnois-Salaberry",2470,75,59410,0.00126241373506144
"10","Quebec","Bécancour",2438,10,18510,0.000540248514316586
"11","Quebec","Bellechasse",2419,55,32675,0.00168324407039021
"12","Quebec","Bonaventure",2405,35,17730,0.00197405527354766
"13","Quebec","Brome-Missisquoi",2446,50,45405,0.00110120030833609
"14","Quebec","Charlevoix",2416,15,12910,0.00116189000774593
"15","Quebec","Charlevoix-Est",2415,10,16165,0.000618620476337767
"16","Quebec","Coaticook",2444,0,18125,0
"17","Quebec","D'Autray",2452,30,39800,0.000753768844221105
"18","Quebec","Deux-Montagnes",2472,125,86570,0.00144391821647222
"19","Quebec","Drummond",2449,30,91055,0.000329471198726045
"20","Quebec","Francheville",2437,155,140260,0.00110509054612862
"21","Quebec","Gatineau",2481,895,239980,0.0037294774564547
"22","Quebec","Joliette",2461,30,57125,0.000525164113785558
"23","Quebec","Kamouraska",2414,55,21580,0.00254865616311399
"24","Quebec","L'Assomption",2460,155,108815,0.0014244359693057
"25","Quebec","L'Érable",2432,20,22725,0.00088008800880088
"26","Quebec","L'Île-d'Orléans",2420,25,6780,0.00368731563421829
"27","Quebec","L'Islet",2417,15,18505,0.000810591731964334
"28","Quebec","Lac-Saint-Jean-Est",2493,95,50625,0.00187654320987654
"29","Quebec","LaCôte-de-Beaupré",2421,15,22630,0.00066283694211224
"30","Quebec","LaCôte-de-Gaspé",2403,20,17635,0.00113410830734335
"31","Quebec","LaHaute-Côte-Nord",2495,0,12240,0
"32","Quebec","LaHaute-Gaspésie",2404,0,12160,0
"33","Quebec","LaHaute-Yamaska",2447,105,83690,0.00125463018281754
"34","Quebec","LaJacques-Cartier",2422,20,29685,0.00067374094660603
"35","Quebec","Lajemmerais",2459,140,69490,0.00201467837098863
"36","Quebec","LaMatapédia",2407,10,18815,0.000531490831783152
"37","Quebec","LaMitis",2409,10,18815,0.000531490831783152
"38","Quebec","LaNouvelle-Beauce",2426,20,31095,0.000643190223508603
"39","Quebec","LaRivière-du-Nord",2475,85,100205,0.000848261064817125
"40","Quebec","LaTuque",2490,10,15240,0.000656167979002625
"41","Quebec","Laval",2465,820,364620,0.00224891668037957
"42","Quebec","LaVallée-de-l'Or",2489,30,41280,0.000726744186046512
"43","Quebec","LaVallée-de-la-Gatineau",2483,0,20390,0
"44","Quebec","LaVallée-du-Richelieu",2457,180,105870,0.00170019835647492
"45","Quebec","LeDomaine-du-Roy",2491,20,31415,0.00063663854846411
"46","Quebec","LeGranit",2430,0,22125,0
"47","Quebec","LeHaut-Richelieu",2456,150,107390,0.00139677809851942
"48","Quebec","LeHaut-Saint-François",2441,25,21465,0.00116468669927789
"49","Quebec","LeHaut-Saint-Laurent",2469,0,21740,0
"50","Quebec","LeRocher-Percé",2402,0,18270,0
"51","Quebec","LeSaguenay-et-son-Fjord",2494,190,161625,0.00117556071152359
"52","Quebec","LesBasques",2411,0,9125,0
"53","Quebec","LesCollines-de-l'Outaouais",2482,50,41840,0.00119502868068834
"54","Quebec","LesEtchemins",2428,15,17190,0.00087260034904014
"55","Quebec","LesÎles-de-la-Madeleine",2401,0,12975,0
"56","Quebec","LesJardins-de-Napierville",2468,25,23880,0.00104690117252931
"57","Quebec","LesLaurentides",2478,0,42445,0
"58","Quebec","LesMaskoutains",2454,85,78935,0.00107683537087477
"59","Quebec","LesMoulins",2464,130,127990,0.00101570435190249
"60","Quebec","LesPays-d'en-Haut",2477,85,36125,0.00235294117647059
"61","Quebec","LeVal-Saint-François",2442,15,28760,0.000521557719054242
"62","Quebec","Lévis",2425,125,128375,0.000973709834469328
"63","Quebec","Longueuil",2458,4145,381280,0.0108712757028955
"64","Quebec","Lotbinière",2433,10,26790,0.000373273609555804
"65","Quebec","Manicouagan",2496,15,32695,0.000458785747056125
"66","Quebec","Maria-Chapdelaine",2492,35,25545,0.00137013114112351
"67","Quebec","Maskinongé",2451,10,34810,0.000287273771904625
"68","Quebec","Matane",2408,20,21880,0.000914076782449726
"69","Quebec","Matawinie",2462,10,49255,0.000203025073596589
"70","Quebec","Mékinac",2435,0,12425,0
"71","Quebec","Memphrémagog",2445,30,44745,0.000670465973851827
"72","Quebec","Mirabel",2474,25,34475,0.000725163161711385
"73","Quebec","Montcalm",2463,20,42220,0.000473709142586452
"74","Quebec","Montmagny",2418,40,22650,0.00176600441501104
"75","Quebec","Montréal",2466,27715,1823900,0.0151954602774275
"76","Quebec","Nicolet-Yamaska",2450,20,22280,0.000897666068222621
"77","Quebec","Nord-du-Québec",2499,25,39555,0.000632031348754898
"78","Quebec","Papineau",2480,0,21540,0
"79","Quebec","Pontiac",2484,20,14435,0.00138552130239002
"80","Quebec","Portneuf",2434,40,45430,0.000880475456746643
"81","Quebec","Québec",2423,950,516010,0.00184104959206217
"82","Quebec","Rimouski-Neigette",2410,50,52170,0.000958405213724363
"83","Quebec","Rivière-du-Loup",2412,10,32450,0.000308166409861325
"84","Quebec","Robert-Cliche",2427,15,18510,0.000810372771474878
"85","Quebec","Roussillon",2467,380,148560,0.00255788906838988
"86","Quebec","Rouville",2455,55,30825,0.00178426601784266
"87","Quebec","Rouyn-Noranda",2486,60,39445,0.00152110533654456
"88","Quebec","Sept-Rivières--Caniapiscau",2497,30,38105,0.000787298254822202
"89","Quebec","Shawinigan",2436,15,50195,0.000298834545273434
"90","Quebec","Sherbrooke",2443,355,144595,0.00245513330336457
"91","Quebec","Témiscamingue",2485,55,16775,0.00327868852459016
"92","Quebec","Témiscouata",2413,0,21220,0
"93","Quebec","Thérèse-DeBlainville",2473,275,142250,0.00193321616871705
"94","Quebec","Vaudreuil-Soulanges",2471,260,119465,0.00217636964801406
