"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,80,23920,0.00334448160535117
"2","Quebec","Abitibi-Ouest",2487,95,20455,0.0046443412368614
"3","Quebec","Acton",2448,220,14995,0.0146715571857286
"4","Quebec","Antoine-Labelle",2479,365,34545,0.0105659284990592
"5","Quebec","Argenteuil",2476,650,29465,0.0220600712709995
"6","Quebec","Arthabaska",2439,540,65075,0.00829811755666539
"7","Quebec","Avignon",2406,70,14415,0.00485605272285813
"8","Quebec","Beauce-Sartigan",2429,140,49090,0.0028519046649012
"9","Quebec","Beauharnois-Salaberry",2470,505,59410,0.00850025248274701
"10","Quebec","Bécancour",2438,325,18510,0.017558076715289
"11","Quebec","Bellechasse",2419,175,32675,0.0053557765876052
"12","Quebec","Bonaventure",2405,90,17730,0.0050761421319797
"13","Quebec","Brome-Missisquoi",2446,1425,45405,0.0313842087875785
"14","Quebec","Charlevoix",2416,50,12910,0.00387296669248644
"15","Quebec","Charlevoix-Est",2415,150,16165,0.0092793071450665
"16","Quebec","Coaticook",2444,220,18125,0.0121379310344828
"17","Quebec","D'Autray",2452,470,39800,0.0118090452261307
"18","Quebec","Deux-Montagnes",2472,1915,86570,0.0221208270763544
"19","Quebec","Drummond",2449,945,91055,0.0103783427598704
"20","Quebec","Francheville",2437,1170,140260,0.00834165121916441
"21","Quebec","Gatineau",2481,7510,239980,0.0312942745228769
"22","Quebec","Joliette",2461,575,57125,0.0100656455142232
"23","Quebec","Kamouraska",2414,45,21580,0.0020852641334569
"24","Quebec","L'Assomption",2460,1300,108815,0.0119468823232091
"25","Quebec","L'Érable",2432,180,22725,0.00792079207920792
"26","Quebec","L'Île-d'Orléans",2420,140,6780,0.0206489675516224
"27","Quebec","L'Islet",2417,55,18505,0.00297216968386922
"28","Quebec","Lac-Saint-Jean-Est",2493,110,50625,0.00217283950617284
"29","Quebec","LaCôte-de-Beaupré",2421,285,22630,0.0125939019001326
"30","Quebec","LaCôte-de-Gaspé",2403,70,17635,0.00396937907570173
"31","Quebec","LaHaute-Côte-Nord",2495,35,12240,0.00285947712418301
"32","Quebec","LaHaute-Gaspésie",2404,30,12160,0.00246710526315789
"33","Quebec","LaHaute-Yamaska",2447,1350,83690,0.0161309594933684
"34","Quebec","LaJacques-Cartier",2422,535,29685,0.0180225703217113
"35","Quebec","Lajemmerais",2459,945,69490,0.0135990790041733
"36","Quebec","LaMatapédia",2407,20,18815,0.0010629816635663
"37","Quebec","LaMitis",2409,60,18815,0.00318894499069891
"38","Quebec","LaNouvelle-Beauce",2426,170,31095,0.00546711689982312
"39","Quebec","LaRivière-du-Nord",2475,1475,100205,0.0147198243600619
"40","Quebec","LaTuque",2490,80,15240,0.005249343832021
"41","Quebec","Laval",2465,27825,364620,0.076312325160441
"42","Quebec","LaVallée-de-l'Or",2489,275,41280,0.00666182170542636
"43","Quebec","LaVallée-de-la-Gatineau",2483,115,20390,0.00564001961745954
"44","Quebec","LaVallée-du-Richelieu",2457,2375,105870,0.0224331727590441
"45","Quebec","LeDomaine-du-Roy",2491,80,31415,0.00254655419385644
"46","Quebec","LeGranit",2430,195,22125,0.0088135593220339
"47","Quebec","LeHaut-Richelieu",2456,2205,107390,0.0205326380482354
"48","Quebec","LeHaut-Saint-François",2441,275,21465,0.0128115536920568
"49","Quebec","LeHaut-Saint-Laurent",2469,775,21740,0.0356485740570377
"50","Quebec","LeRocher-Percé",2402,45,18270,0.00246305418719212
"51","Quebec","LeSaguenay-et-son-Fjord",2494,730,161625,0.00451662799690642
"52","Quebec","LesBasques",2411,65,9125,0.00712328767123288
"53","Quebec","LesCollines-de-l'Outaouais",2482,1280,41840,0.0305927342256214
"54","Quebec","LesEtchemins",2428,35,17190,0.00203606748109366
"55","Quebec","LesÎles-de-la-Madeleine",2401,25,12975,0.00192678227360308
"56","Quebec","LesJardins-de-Napierville",2468,595,23880,0.0249162479061977
"57","Quebec","LesLaurentides",2478,1080,42445,0.0254446931322888
"58","Quebec","LesMaskoutains",2454,875,78935,0.0110850699942991
"59","Quebec","LesMoulins",2464,2175,127990,0.0169935151183686
"60","Quebec","LesPays-d'en-Haut",2477,1700,36125,0.0470588235294118
"61","Quebec","LeVal-Saint-François",2442,265,28760,0.00921418636995828
"62","Quebec","Lévis",2425,885,128375,0.00689386562804284
"63","Quebec","Longueuil",2458,17455,381280,0.0457800041963911
"64","Quebec","Lotbinière",2433,140,26790,0.00522583053378126
"65","Quebec","Manicouagan",2496,105,32695,0.00321150022939287
"66","Quebec","Maria-Chapdelaine",2492,50,25545,0.00195733020160501
"67","Quebec","Maskinongé",2451,185,34810,0.00531456478023556
"68","Quebec","Matane",2408,95,21880,0.0043418647166362
"69","Quebec","Matawinie",2462,1335,49255,0.0271038473251447
"70","Quebec","Mékinac",2435,100,12425,0.00804828973843058
