"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,180,23920,0.00752508361204013
"2","Quebec","Abitibi-Ouest",2487,160,20455,0.00782204839892447
"3","Quebec","Acton",2448,290,14995,0.0193397799266422
"4","Quebec","Antoine-Labelle",2479,455,34545,0.0131712259371834
"5","Quebec","Argenteuil",2476,890,29465,0.0302053283556762
"6","Quebec","Arthabaska",2439,1200,65075,0.0184402612370342
"7","Quebec","Avignon",2406,240,14415,0.0166493236212279
"8","Quebec","Beauce-Sartigan",2429,470,49090,0.00957425137502546
"9","Quebec","Beauharnois-Salaberry",2470,1035,59410,0.0174213095438478
"10","Quebec","Bécancour",2438,430,18510,0.0232306861156132
"11","Quebec","Bellechasse",2419,375,32675,0.0114766641162969
"12","Quebec","Bonaventure",2405,175,17730,0.0098702763677383
"13","Quebec","Brome-Missisquoi",2446,2285,45405,0.0503248540909591
"14","Quebec","Charlevoix",2416,125,12910,0.00968241673121611
"15","Quebec","Charlevoix-Est",2415,220,16165,0.0136096504794309
"16","Quebec","Coaticook",2444,620,18125,0.0342068965517241
"17","Quebec","D'Autray",2452,750,39800,0.0188442211055276
"18","Quebec","Deux-Montagnes",2472,3475,86570,0.0401409264179277
"19","Quebec","Drummond",2449,2525,91055,0.0277304925594421
"20","Quebec","Francheville",2437,3025,140260,0.0215670896905746
"21","Quebec","Gatineau",2481,20780,239980,0.0865905492124344
"22","Quebec","Joliette",2461,1290,57125,0.022582056892779
"23","Quebec","Kamouraska",2414,225,21580,0.0104263206672845
"24","Quebec","L'Assomption",2460,3590,108815,0.0329917750310159
"25","Quebec","L'Érable",2432,370,22725,0.0162816281628163
"26","Quebec","L'Île-d'Orléans",2420,215,6780,0.0317109144542773
"27","Quebec","L'Islet",2417,105,18505,0.00567414212375034
"28","Quebec","Lac-Saint-Jean-Est",2493,335,50625,0.00661728395061728
"29","Quebec","LaCôte-de-Beaupré",2421,415,22630,0.018338488731772
"30","Quebec","LaCôte-de-Gaspé",2403,185,17635,0.010490501842926
"31","Quebec","LaHaute-Côte-Nord",2495,65,12240,0.00531045751633987
"32","Quebec","LaHaute-Gaspésie",2404,60,12160,0.00493421052631579
"33","Quebec","LaHaute-Yamaska",2447,2850,83690,0.0340542478193333
"34","Quebec","LaJacques-Cartier",2422,805,29685,0.0271180731008927
"35","Quebec","Lajemmerais",2459,1795,69490,0.0258310548280328
"36","Quebec","LaMatapédia",2407,70,18815,0.00372043582248206
"37","Quebec","LaMitis",2409,100,18815,0.00531490831783152
"38","Quebec","LaNouvelle-Beauce",2426,280,31095,0.00900466312912044
"39","Quebec","LaRivière-du-Nord",2475,2740,100205,0.0273439449129285
"40","Quebec","LaTuque",2490,135,15240,0.00885826771653543
"41","Quebec","Laval",2465,73565,364620,0.201757994624541
"42","Quebec","LaVallée-de-l'Or",2489,545,41280,0.013202519379845
"43","Quebec","LaVallée-de-la-Gatineau",2483,265,20390,0.0129965669445807
"44","Quebec","LaVallée-du-Richelieu",2457,4120,105870,0.038915651270426
"45","Quebec","LeDomaine-du-Roy",2491,180,31415,0.00572974693617699
"46","Quebec","LeGranit",2430,415,22125,0.0187570621468927
"47","Quebec","LeHaut-Richelieu",2456,3595,107390,0.0334761150945153
"48","Quebec","LeHaut-Saint-François",2441,460,21465,0.0214302352667133
"49","Quebec","LeHaut-Saint-Laurent",2469,1090,21740,0.0501379944802208
"50","Quebec","LeRocher-Percé",2402,90,18270,0.00492610837438424
"51","Quebec","LeSaguenay-et-son-Fjord",2494,1870,161625,0.011569992266048
"52","Quebec","LesBasques",2411,115,9125,0.0126027397260274
"53","Quebec","LesCollines-de-l'Outaouais",2482,1925,41840,0.046008604206501
"54","Quebec","LesEtchemins",2428,180,17190,0.0104712041884817
"55","Quebec","LesÎles-de-la-Madeleine",2401,90,12975,0.0069364161849711
"56","Quebec","LesJardins-de-Napierville",2468,925,23880,0.0387353433835846
"57","Quebec","LesLaurentides",2478,1645,42445,0.0387560372246437
"58","Quebec","LesMaskoutains",2454,2300,78935,0.0291378982707291
"59","Quebec","LesMoulins",2464,4820,127990,0.0376591921243847
"60","Quebec","LesPays-d'en-Haut",2477,2380,36125,0.0658823529411765
"61","Quebec","LeVal-Saint-François",2442,515,28760,0.0179068150208623
"62","Quebec","Lévis",2425,1990,128375,0.0155014605647517
"63","Quebec","Longueuil",2458,59230,381280,0.155345153168275
"64","Quebec","Lotbinière",2433,335,26790,0.0125046659201194
"65","Quebec","Manicouagan",2496,230,32695,0.00703471478819391
"66","Quebec","Maria-Chapdelaine",2492,155,25545,0.00606772362497553
"67","Quebec","Maskinongé",2451,330,34810,0.00948003447285263
"68","Quebec","Matane",2408,160,21880,0.00731261425959781
"69","Quebec","Matawinie",2462,1615,49255,0.0327885493858492
"70","Quebec","Mékinac",2435,130,12425,0.0104627766599598
"71","Quebec","Memphrémagog",2445,2170,44745,0.0484970387752822
"72","Quebec","Mirabel",2474,770,34475,0.0223350253807107
"73","Quebec","Montcalm",2463,605,42220,0.0143297015632402
"74","Quebec","Montmagny",2418,145,22650,0.00640176600441501
"75","Quebec","Montréal",2466,560395,1823900,0.307250945775536
"76","Quebec","Nicolet-Yamaska",2450,365,22280,0.0163824057450628
"77","Quebec","Nord-du-Québec",2499,350,39555,0.00884843888256858
"78","Quebec","Papineau",2480,360,21540,0.0167130919220056
"79","Quebec","Pontiac",2484,295,14435,0.0204364392102529
"80","Quebec","Portneuf",2434,620,45430,0.013647369579573
"81","Quebec","Québec",2423,22775,516010,0.0441367415360167
"82","Quebec","Rimouski-Neigette",2410,915,52170,0.0175388154111558
"83","Quebec","Rivière-du-Loup",2412,195,32450,0.00600924499229584
"84","Quebec","Robert-Cliche",2427,270,18510,0.0145867098865478
"85","Quebec","Roussillon",2467,9705,148560,0.065327140549273
"86","Quebec","Rouville",2455,730,30825,0.0236820762368208
"87","Quebec","Rouyn-Noranda",2486,490,39445,0.0124223602484472
"88","Quebec","Sept-Rivières--Caniapiscau",2497,595,38105,0.0156147487206403
"89","Quebec","Shawinigan",2436,365,50195,0.00727164060165355
"90","Quebec","Sherbrooke",2443,9160,144595,0.0633493550952661
"91","Quebec","Témiscamingue",2485,405,16775,0.0241430700447094
"92","Quebec","Témiscouata",2413,225,21220,0.0106032045240339
