"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,23740,23920,0.99247491638796
"2","Quebec","Abitibi-Ouest",2487,20275,20455,0.99120019555121
"3","Quebec","Acton",2448,14695,14995,0.97999333111037
"4","Quebec","Antoine-Labelle",2479,34065,34545,0.986105080330004
"5","Quebec","Argenteuil",2476,28505,29465,0.967418971661293
"6","Quebec","Arthabaska",2439,63850,65075,0.981175566653861
"7","Quebec","Avignon",2406,14180,14415,0.983697537287548
"8","Quebec","Beauce-Sartigan",2429,48565,49090,0.989305357506621
"9","Quebec","Beauharnois-Salaberry",2470,58345,59410,0.982073724962128
"10","Quebec","Bécancour",2438,18065,18510,0.975958941112912
"11","Quebec","Bellechasse",2419,32275,32675,0.987758224942617
"12","Quebec","Bonaventure",2405,17545,17730,0.98956570783982
"13","Quebec","Brome-Missisquoi",2446,43070,45405,0.948573945600705
"14","Quebec","Charlevoix",2416,12785,12910,0.990317583268784
"15","Quebec","Charlevoix-Est",2415,15935,16165,0.985771729044231
"16","Quebec","Coaticook",2444,17500,18125,0.96551724137931
"17","Quebec","D'Autray",2452,38945,39800,0.978517587939698
"18","Quebec","Deux-Montagnes",2472,83040,86570,0.959223749566825
"19","Quebec","Drummond",2449,88380,91055,0.970622151446928
"20","Quebec","Francheville",2437,136970,140260,0.976543561956367
"21","Quebec","Gatineau",2481,218505,239980,0.910513376114676
"22","Quebec","Joliette",2461,55805,57125,0.976892778993435
"23","Quebec","Kamouraska",2414,21330,21580,0.988415199258573
"24","Quebec","L'Assomption",2460,105130,108815,0.966135183568442
"25","Quebec","L'Érable",2432,22335,22725,0.982838283828383
"26","Quebec","L'Île-d'Orléans",2420,6555,6780,0.966814159292035
"27","Quebec","L'Islet",2417,18395,18505,0.994055660632262
"28","Quebec","Lac-Saint-Jean-Est",2493,50285,50625,0.993283950617284
"29","Quebec","LaCôte-de-Beaupré",2421,22205,22630,0.981219619973487
"30","Quebec","LaCôte-de-Gaspé",2403,17425,17635,0.988091862772895
"31","Quebec","LaHaute-Côte-Nord",2495,12180,12240,0.995098039215686
"32","Quebec","LaHaute-Gaspésie",2404,12095,12160,0.994654605263158
"33","Quebec","LaHaute-Yamaska",2447,80690,83690,0.96415342334807
"34","Quebec","LaJacques-Cartier",2422,28860,29685,0.972208185952501
"35","Quebec","Lajemmerais",2459,67565,69490,0.972298172398906
"36","Quebec","LaMatapédia",2407,18745,18815,0.996279564177518
"37","Quebec","LaMitis",2409,18685,18815,0.993090619186819
"38","Quebec","LaNouvelle-Beauce",2426,30810,31095,0.990834539315002
"39","Quebec","LaRivière-du-Nord",2475,97385,100205,0.971857691731949
"40","Quebec","LaTuque",2490,15105,15240,0.991141732283465
"41","Quebec","Laval",2465,289865,364620,0.794978333607592
"42","Quebec","LaVallée-de-l'Or",2489,40715,41280,0.986312984496124
"43","Quebec","LaVallée-de-la-Gatineau",2483,20115,20390,0.986512996566945
"44","Quebec","LaVallée-du-Richelieu",2457,101645,105870,0.960092566354964
"45","Quebec","LeDomaine-du-Roy",2491,31235,31415,0.994270253063823
"46","Quebec","LeGranit",2430,21700,22125,0.980790960451977
"47","Quebec","LeHaut-Richelieu",2456,103710,107390,0.965732377316324
"48","Quebec","LeHaut-Saint-François",2441,20985,21465,0.977638015373864
"49","Quebec","LeHaut-Saint-Laurent",2469,20575,21740,0.946412143514259
"50","Quebec","LeRocher-Percé",2402,18170,18270,0.994526546250684
"51","Quebec","LeSaguenay-et-son-Fjord",2494,159625,161625,0.987625676720804
"52","Quebec","LesBasques",2411,9010,9125,0.987397260273973
"53","Quebec","LesCollines-de-l'Outaouais",2482,39880,41840,0.953154875717017
"54","Quebec","LesEtchemins",2428,16980,17190,0.987783595113438
"55","Quebec","LesÎles-de-la-Madeleine",2401,12885,12975,0.993063583815029
"56","Quebec","LesJardins-de-Napierville",2468,22765,23880,0.953308207705193
"57","Quebec","LesLaurentides",2478,40730,42445,0.959594769701967
"58","Quebec","LesMaskoutains",2454,76450,78935,0.96851840121619
"59","Quebec","LesMoulins",2464,123090,127990,0.961715759043675
"60","Quebec","LesPays-d'en-Haut",2477,33665,36125,0.931903114186851
"61","Quebec","LeVal-Saint-François",2442,28245,28760,0.982093184979138
"62","Quebec","Lévis",2425,126240,128375,0.983369036027264
"63","Quebec","Longueuil",2458,320125,381280,0.839606063785145
"64","Quebec","Lotbinière",2433,26445,26790,0.987122060470325
"65","Quebec","Manicouagan",2496,32455,32695,0.992659428047102
"66","Quebec","Maria-Chapdelaine",2492,25390,25545,0.993932276375024
"67","Quebec","Maskinongé",2451,34460,34810,0.989945417983338
"68","Quebec","Matane",2408,21650,21880,0.989488117001828
"69","Quebec","Matawinie",2462,47610,49255,0.966602375393361
"70","Quebec","Mékinac",2435,12285,12425,0.988732394366197
"71","Quebec","Memphrémagog",2445,42455,44745,0.948821097329311
"72","Quebec","Mirabel",2474,33685,34475,0.97708484408992
"73","Quebec","Montcalm",2463,41590,42220,0.985078162008527
"74","Quebec","Montmagny",2418,22510,22650,0.993818984547461
"75","Quebec","Montréal",2466,1225975,1823900,0.672172268216459
"76","Quebec","Nicolet-Yamaska",2450,21875,22280,0.981822262118492
"77","Quebec","Nord-du-Québec",2499,39195,39555,0.990898748577929
"78","Quebec","Papineau",2480,21150,21540,0.981894150417827
"79","Quebec","Pontiac",2484,14125,14435,0.978524419812955
"80","Quebec","Portneuf",2434,44800,45430,0.98613251155624
"81","Quebec","Québec",2423,491170,516010,0.951861398034922
"82","Quebec","Rimouski-Neigette",2410,51040,52170,0.978340042169829
"83","Quebec","Rivière-du-Loup",2412,32225,32450,0.99306625577812
"84","Quebec","Robert-Cliche",2427,18230,18510,0.984873041599136
"85","Quebec","Roussillon",2467,138615,148560,0.933057350565428
"86","Quebec","Rouville",2455,30090,30825,0.976155717761557
"87","Quebec","Rouyn-Noranda",2486,38910,39445,0.986436810749144
"88","Quebec","Sept-Rivières--Caniapiscau",2497,37490,38105,0.983860385776145
