"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,0,23920,0
"2","Quebec","Abitibi-Ouest",2487,0,20455,0
"3","Quebec","Acton",2448,0,14995,0
"4","Quebec","Antoine-Labelle",2479,0,34545,0
"5","Quebec","Argenteuil",2476,0,29465,0
"6","Quebec","Arthabaska",2439,15,65075,0.000230503265462927
"7","Quebec","Avignon",2406,10,14415,0.000693721817551162
"8","Quebec","Beauce-Sartigan",2429,15,49090,0.000305561214096557
"9","Quebec","Beauharnois-Salaberry",2470,10,59410,0.000168321831341525
"10","Quebec","Bécancour",2438,0,18510,0
"11","Quebec","Bellechasse",2419,0,32675,0
"12","Quebec","Bonaventure",2405,15,17730,0.000846023688663283
"13","Quebec","Brome-Missisquoi",2446,15,45405,0.000330360092500826
"14","Quebec","Charlevoix",2416,0,12910,0
"15","Quebec","Charlevoix-Est",2415,15,16165,0.00092793071450665
"16","Quebec","Coaticook",2444,10,18125,0.000551724137931035
"17","Quebec","D'Autray",2452,10,39800,0.000251256281407035
"18","Quebec","Deux-Montagnes",2472,10,86570,0.000115513457317778
"19","Quebec","Drummond",2449,10,91055,0.000109823732908682
"20","Quebec","Francheville",2437,0,140260,0
"21","Quebec","Gatineau",2481,90,239980,0.000375031252604384
"22","Quebec","Joliette",2461,0,57125,0
"23","Quebec","Kamouraska",2414,0,21580,0
"24","Quebec","L'Assomption",2460,30,108815,0.000275697284381749
"25","Quebec","L'Érable",2432,15,22725,0.00066006600660066
"26","Quebec","L'Île-d'Orléans",2420,0,6780,0
"27","Quebec","L'Islet",2417,0,18505,0
"28","Quebec","Lac-Saint-Jean-Est",2493,0,50625,0
"29","Quebec","LaCôte-de-Beaupré",2421,0,22630,0
"30","Quebec","LaCôte-de-Gaspé",2403,0,17635,0
"31","Quebec","LaHaute-Côte-Nord",2495,0,12240,0
"32","Quebec","LaHaute-Gaspésie",2404,0,12160,0
"33","Quebec","LaHaute-Yamaska",2447,0,83690,0
"34","Quebec","LaJacques-Cartier",2422,0,29685,0
"35","Quebec","Lajemmerais",2459,20,69490,0.000287811195855519
"36","Quebec","LaMatapédia",2407,0,18815,0
"37","Quebec","LaMitis",2409,0,18815,0
"38","Quebec","LaNouvelle-Beauce",2426,0,31095,0
"39","Quebec","LaRivière-du-Nord",2475,0,100205,0
"40","Quebec","LaTuque",2490,0,15240,0
"41","Quebec","Laval",2465,190,364620,0.000521090450331852
"42","Quebec","LaVallée-de-l'Or",2489,0,41280,0
"43","Quebec","LaVallée-de-la-Gatineau",2483,15,20390,0.000735654732712114
"44","Quebec","LaVallée-du-Richelieu",2457,25,105870,0.000236138660621517
"45","Quebec","LeDomaine-du-Roy",2491,0,31415,0
"46","Quebec","LeGranit",2430,0,22125,0
"47","Quebec","LeHaut-Richelieu",2456,10,107390,9.31185399012944e-05
"48","Quebec","LeHaut-Saint-François",2441,0,21465,0
"49","Quebec","LeHaut-Saint-Laurent",2469,0,21740,0
"50","Quebec","LeRocher-Percé",2402,10,18270,0.000547345374931582
"51","Quebec","LeSaguenay-et-son-Fjord",2494,0,161625,0
"52","Quebec","LesBasques",2411,0,9125,0
"53","Quebec","LesCollines-de-l'Outaouais",2482,45,41840,0.0010755258126195
"54","Quebec","LesEtchemins",2428,0,17190,0
"55","Quebec","LesÎles-de-la-Madeleine",2401,15,12975,0.00115606936416185
"56","Quebec","LesJardins-de-Napierville",2468,0,23880,0
"57","Quebec","LesLaurentides",2478,15,42445,0.000353398515726234
"58","Quebec","LesMaskoutains",2454,0,78935,0
"59","Quebec","LesMoulins",2464,45,127990,0.000351589967966247
"60","Quebec","LesPays-d'en-Haut",2477,10,36125,0.00027681660899654
"61","Quebec","LeVal-Saint-François",2442,0,28760,0
"62","Quebec","Lévis",2425,10,128375,7.78967867575463e-05
"63","Quebec","Longueuil",2458,100,381280,0.000262274443978179
"64","Quebec","Lotbinière",2433,0,26790,0
"65","Quebec","Manicouagan",2496,0,32695,0
"66","Quebec","Maria-Chapdelaine",2492,0,25545,0
"67","Quebec","Maskinongé",2451,0,34810,0
"68","Quebec","Matane",2408,10,21880,0.000457038391224863
"69","Quebec","Matawinie",2462,0,49255,0
"70","Quebec","Mékinac",2435,0,12425,0
"71","Quebec","Memphrémagog",2445,10,44745,0.000223488657950609
"72","Quebec","Mirabel",2474,35,34475,0.00101522842639594
"73","Quebec","Montcalm",2463,0,42220,0
"74","Quebec","Montmagny",2418,0,22650,0
"75","Quebec","Montréal",2466,1425,1823900,0.000781292834036954
"76","Quebec","Nicolet-Yamaska",2450,0,22280,0
"77","Quebec","Nord-du-Québec",2499,0,39555,0
"78","Quebec","Papineau",2480,0,21540,0
"79","Quebec","Pontiac",2484,10,14435,0.000692760651195012
"80","Quebec","Portneuf",2434,0,45430,0
"81","Quebec","Québec",2423,90,516010,0.000174415224511153
"82","Quebec","Rimouski-Neigette",2410,10,52170,0.000191681042744873
"83","Quebec","Rivière-du-Loup",2412,0,32450,0
"84","Quebec","Robert-Cliche",2427,0,18510,0
"85","Quebec","Roussillon",2467,30,148560,0.000201938610662359
