"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,10,23920,0.000418060200668896
"2","Quebec","Abitibi-Ouest",2487,15,20455,0.000733317037399169
"3","Quebec","Acton",2448,0,14995,0
"4","Quebec","Antoine-Labelle",2479,0,34545,0
"5","Quebec","Argenteuil",2476,25,29465,0.000848464279653827
"6","Quebec","Arthabaska",2439,340,65075,0.00522474068382635
"7","Quebec","Avignon",2406,0,14415,0
"8","Quebec","Beauce-Sartigan",2429,10,49090,0.000203707476064372
"9","Quebec","Beauharnois-Salaberry",2470,40,59410,0.0006732873253661
"10","Quebec","Bécancour",2438,0,18510,0
"11","Quebec","Bellechasse",2419,10,32675,0.000306044376434583
"12","Quebec","Bonaventure",2405,0,17730,0
"13","Quebec","Brome-Missisquoi",2446,30,45405,0.000660720185001652
"14","Quebec","Charlevoix",2416,10,12910,0.000774593338497289
"15","Quebec","Charlevoix-Est",2415,25,16165,0.00154655119084442
"16","Quebec","Coaticook",2444,40,18125,0.00220689655172414
"17","Quebec","D'Autray",2452,15,39800,0.000376884422110553
"18","Quebec","Deux-Montagnes",2472,105,86570,0.00121289130183666
"19","Quebec","Drummond",2449,920,91055,0.0101037834275987
"20","Quebec","Francheville",2437,420,140260,0.00299443889918722
"21","Quebec","Gatineau",2481,1415,239980,0.00589632469372448
"22","Quebec","Joliette",2461,155,57125,0.00271334792122538
"23","Quebec","Kamouraska",2414,80,21580,0.00370713623725672
"24","Quebec","L'Assomption",2460,250,108815,0.00229747736984791
"25","Quebec","L'Érable",2432,25,22725,0.0011001100110011
"26","Quebec","L'Île-d'Orléans",2420,0,6780,0
"27","Quebec","L'Islet",2417,0,18505,0
"28","Quebec","Lac-Saint-Jean-Est",2493,10,50625,0.000197530864197531
"29","Quebec","LaCôte-de-Beaupré",2421,10,22630,0.000441891294741494
"30","Quebec","LaCôte-de-Gaspé",2403,15,17635,0.000850581230507513
"31","Quebec","LaHaute-Côte-Nord",2495,0,12240,0
"32","Quebec","LaHaute-Gaspésie",2404,10,12160,0.000822368421052632
"33","Quebec","LaHaute-Yamaska",2447,350,83690,0.0041821006093918
"34","Quebec","LaJacques-Cartier",2422,30,29685,0.00101061141990905
"35","Quebec","Lajemmerais",2459,95,69490,0.00136710318031371
"36","Quebec","LaMatapédia",2407,0,18815,0
"37","Quebec","LaMitis",2409,0,18815,0
"38","Quebec","LaNouvelle-Beauce",2426,10,31095,0.000321595111754301
"39","Quebec","LaRivière-du-Nord",2475,530,100205,0.00528915722768325
"40","Quebec","LaTuque",2490,0,15240,0
"41","Quebec","Laval",2465,3240,364620,0.00888596346881685
"42","Quebec","LaVallée-de-l'Or",2489,20,41280,0.000484496124031008
