"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,10,23920,0.000418060200668896
"2","Quebec","Abitibi-Ouest",2487,15,20455,0.000733317037399169
"3","Quebec","Acton",2448,0,14995,0
"4","Quebec","Antoine-Labelle",2479,0,34545,0
"5","Quebec","Argenteuil",2476,110,29465,0.00373324283047684
"6","Quebec","Arthabaska",2439,10,65075,0.000153668843641952
"7","Quebec","Avignon",2406,0,14415,0
"8","Quebec","Beauce-Sartigan",2429,0,49090,0
"9","Quebec","Beauharnois-Salaberry",2470,20,59410,0.00033664366268305
"10","Quebec","Bécancour",2438,0,18510,0
"11","Quebec","Bellechasse",2419,0,32675,0
"12","Quebec","Bonaventure",2405,10,17730,0.000564015792442188
"13","Quebec","Brome-Missisquoi",2446,270,45405,0.00594648166501487
"14","Quebec","Charlevoix",2416,0,12910,0
"15","Quebec","Charlevoix-Est",2415,0,16165,0
"16","Quebec","Coaticook",2444,0,18125,0
"17","Quebec","D'Autray",2452,10,39800,0.000251256281407035
"18","Quebec","Deux-Montagnes",2472,205,86570,0.00236802587501444
"19","Quebec","Drummond",2449,20,91055,0.000219647465817363
"20","Quebec","Francheville",2437,30,140260,0.000213888492799087
"21","Quebec","Gatineau",2481,465,239980,0.00193766147178932
"22","Quebec","Joliette",2461,0,57125,0
"23","Quebec","Kamouraska",2414,0,21580,0
"24","Quebec","L'Assomption",2460,15,108815,0.000137848642190874
"25","Quebec","L'Érable",2432,0,22725,0
"26","Quebec","L'Île-d'Orléans",2420,15,6780,0.00221238938053097
"27","Quebec","L'Islet",2417,0,18505,0
"28","Quebec","Lac-Saint-Jean-Est",2493,0,50625,0
"29","Quebec","LaCôte-de-Beaupré",2421,10,22630,0.000441891294741494
"30","Quebec","LaCôte-de-Gaspé",2403,15,17635,0.000850581230507513
"31","Quebec","LaHaute-Côte-Nord",2495,0,12240,0
"32","Quebec","LaHaute-Gaspésie",2404,0,12160,0
"33","Quebec","LaHaute-Yamaska",2447,80,83690,0.000955908710718126
"34","Quebec","LaJacques-Cartier",2422,0,29685,0
"35","Quebec","Lajemmerais",2459,10,69490,0.000143905597927759
"36","Quebec","LaMatapédia",2407,0,18815,0
"37","Quebec","LaMitis",2409,10,18815,0.000531490831783152
"38","Quebec","LaNouvelle-Beauce",2426,0,31095,0
"39","Quebec","LaRivière-du-Nord",2475,65,100205,0.000648670226036625
"40","Quebec","LaTuque",2490,0,15240,0
"41","Quebec","Laval",2465,355,364620,0.000973616367725303
"42","Quebec","LaVallée-de-l'Or",2489,0,41280,0
"43","Quebec","LaVallée-de-la-Gatineau",2483,15,20390,0.000735654732712114
"44","Quebec","LaVallée-du-Richelieu",2457,165,105870,0.00155851516010201
