"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Quebec","Abitibi",2488,15,23920,0.000627090301003344
"2","Quebec","Abitibi-Ouest",2487,10,20455,0.000488878024932779
"3","Quebec","Acton",2448,25,14995,0.00166722240746916
"4","Quebec","Antoine-Labelle",2479,45,34545,0.00130264871906209
"5","Quebec","Argenteuil",2476,85,29465,0.00288477855082301
"6","Quebec","Arthabaska",2439,135,65075,0.00207452938916635
"7","Quebec","Avignon",2406,95,14415,0.00659035726673604
"8","Quebec","Beauce-Sartigan",2429,230,49090,0.00468527194948055
"9","Quebec","Beauharnois-Salaberry",2470,130,59410,0.00218818380743982
"10","Quebec","Bécancour",2438,35,18510,0.00189086980010805
"11","Quebec","Bellechasse",2419,75,32675,0.00229533282325937
"12","Quebec","Bonaventure",2405,15,17730,0.000846023688663283
"13","Quebec","Brome-Missisquoi",2446,500,45405,0.0110120030833609
"14","Quebec","Charlevoix",2416,15,12910,0.00116189000774593
"15","Quebec","Charlevoix-Est",2415,0,16165,0
"16","Quebec","Coaticook",2444,265,18125,0.0146206896551724
"17","Quebec","D'Autray",2452,40,39800,0.00100502512562814
"18","Quebec","Deux-Montagnes",2472,180,86570,0.00207924223172
"19","Quebec","Drummond",2449,225,91055,0.00247103399044534
"20","Quebec","Francheville",2437,165,140260,0.00117638671039498
"21","Quebec","Gatineau",2481,650,239980,0.00270855904658722
"22","Quebec","Joliette",2461,50,57125,0.00087527352297593
"23","Quebec","Kamouraska",2414,0,21580,0
"24","Quebec","L'Assomption",2460,160,108815,0.00147038551670266
"25","Quebec","L'Érable",2432,55,22725,0.00242024202420242
"26","Quebec","L'Île-d'Orléans",2420,10,6780,0.00147492625368732
"27","Quebec","L'Islet",2417,15,18505,0.000810591731964334
"28","Quebec","Lac-Saint-Jean-Est",2493,10,50625,0.000197530864197531
"29","Quebec","LaCôte-de-Beaupré",2421,40,22630,0.00176756517896597
"30","Quebec","LaCôte-de-Gaspé",2403,10,17635,0.000567054153671676
"31","Quebec","LaHaute-Côte-Nord",2495,0,12240,0
"32","Quebec","LaHaute-Gaspésie",2404,10,12160,0.000822368421052632
"33","Quebec","LaHaute-Yamaska",2447,255,83690,0.00304695901541403
"34","Quebec","LaJacques-Cartier",2422,65,29685,0.0021896580764696
"35","Quebec","Lajemmerais",2459,120,69490,0.00172686717513311
"36","Quebec","LaMatapédia",2407,15,18815,0.000797236247674728
"37","Quebec","LaMitis",2409,20,18815,0.0010629816635663
"38","Quebec","LaNouvelle-Beauce",2426,40,31095,0.00128638044701721
"39","Quebec","LaRivière-du-Nord",2475,120,100205,0.001197545032683
"40","Quebec","LaTuque",2490,15,15240,0.000984251968503937
"41","Quebec","Laval",2465,1090,364620,0.00298941363611431
"42","Quebec","LaVallée-de-l'Or",2489,60,41280,0.00145348837209302
"43","Quebec","LaVallée-de-la-Gatineau",2483,125,20390,0.00613045610593428
"44","Quebec","LaVallée-du-Richelieu",2457,315,105870,0.00297534712383111
"45","Quebec","LeDomaine-du-Roy",2491,10,31415,0.000318319274232055
"46","Quebec","LeGranit",2430,120,22125,0.00542372881355932
"47","Quebec","LeHaut-Richelieu",2456,295,107390,0.00274699692708818
"48","Quebec","LeHaut-Saint-François",2441,95,21465,0.004425809457256
"49","Quebec","LeHaut-Saint-Laurent",2469,195,21740,0.00896964121435143
"50","Quebec","LeRocher-Percé",2402,0,18270,0
"51","Quebec","LeSaguenay-et-son-Fjord",2494,100,161625,0.000618716163959783
"52","Quebec","LesBasques",2411,0,9125,0
"53","Quebec","LesCollines-de-l'Outaouais",2482,255,41840,0.00609464627151052
"54","Quebec","LesEtchemins",2428,80,17190,0.00465386852821408
"55","Quebec","LesÎles-de-la-Madeleine",2401,0,12975,0
"56","Quebec","LesJardins-de-Napierville",2468,125,23880,0.00523450586264657
"57","Quebec","LesLaurentides",2478,215,42445,0.00506537872540935
"58","Quebec","LesMaskoutains",2454,265,78935,0.00335719262684487
"59","Quebec","LesMoulins",2464,255,127990,0.00199234315180874
"60","Quebec","LesPays-d'en-Haut",2477,165,36125,0.00456747404844291
"61","Quebec","LeVal-Saint-François",2442,115,28760,0.00399860917941586
"62","Quebec","Lévis",2425,265,128375,0.00206426484907498
"63","Quebec","Longueuil",2458,1205,381280,0.00316040704993705
"64","Quebec","Lotbinière",2433,50,26790,0.00186636804777902
"65","Quebec","Manicouagan",2496,10,32695,0.000305857164704083
"66","Quebec","Maria-Chapdelaine",2492,10,25545,0.000391466040321002
"67","Quebec","Maskinongé",2451,70,34810,0.00201091640333238
"68","Quebec","Matane",2408,20,21880,0.000914076782449726
"69","Quebec","Matawinie",2462,75,49255,0.00152268805197442
"70","Quebec","Mékinac",2435,0,12425,0
"71","Quebec","Memphrémagog",2445,760,44745,0.0169851380042463
"72","Quebec","Mirabel",2474,20,34475,0.000580130529369108
"73","Quebec","Montcalm",2463,30,42220,0.000710563713879678
"74","Quebec","Montmagny",2418,55,22650,0.00242825607064018
"75","Quebec","Montréal",2466,11765,1823900,0.00645046329294369
"76","Quebec","Nicolet-Yamaska",2450,50,22280,0.00224416517055655
"77","Quebec","Nord-du-Québec",2499,25,39555,0.000632031348754898
"78","Quebec","Papineau",2480,20,21540,0.000928505106778087
"79","Quebec","Pontiac",2484,65,14435,0.00450294423276758
"80","Quebec","Portneuf",2434,40,45430,0.000880475456746643
"81","Quebec","Québec",2423,1025,516010,0.00198639561248813
