"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,75,28750,0.00260869565217391
"2","Saskatchewan","DivisionNo.10",4710,10,17325,0.000577200577200577
"3","Saskatchewan","DivisionNo.11",4711,1405,241000,0.0058298755186722
"4","Saskatchewan","DivisionNo.12",4712,10,22180,0.000450856627592426
"5","Saskatchewan","DivisionNo.13",4713,10,22090,0.000452693526482571
"6","Saskatchewan","DivisionNo.14",4714,0,35950,0
"7","Saskatchewan","DivisionNo.15",4715,140,77350,0.00180995475113122
"8","Saskatchewan","DivisionNo.16",4716,100,36520,0.00273822562979189
"9","Saskatchewan","DivisionNo.17",4717,10,40135,0.000249159088077738
"10","Saskatchewan","DivisionNo.18",4718,15,33900,0.000442477876106195
"11","Saskatchewan","DivisionNo.2",4702,100,19890,0.00502765208647562
"12","Saskatchewan","DivisionNo.3",4703,20,12875,0.00155339805825243
"13","Saskatchewan","DivisionNo.4",4704,10,10945,0.000913659205116492
"14","Saskatchewan","DivisionNo.5",4705,35,29950,0.0011686143572621
"15","Saskatchewan","DivisionNo.6",4706,1310,217860,0.00601303589461122
"16","Saskatchewan","DivisionNo.7",4707,125,44240,0.0028254972875226
"17","Saskatchewan","DivisionNo.8",4708,45,28790,0.00156304272316777
"18","Saskatchewan","DivisionNo.9",4709,130,34105,0.0038117578067732
