"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,45,28750,0.00156521739130435
"2","Saskatchewan","DivisionNo.10",4710,40,17325,0.00230880230880231
"3","Saskatchewan","DivisionNo.11",4711,6400,241000,0.0265560165975104
"4","Saskatchewan","DivisionNo.12",4712,120,22180,0.00541027953110911
"5","Saskatchewan","DivisionNo.13",4713,70,22090,0.003168854685378
"6","Saskatchewan","DivisionNo.14",4714,90,35950,0.00250347705146036
"7","Saskatchewan","DivisionNo.15",4715,330,77350,0.00426632191338074
"8","Saskatchewan","DivisionNo.16",4716,135,36520,0.00369660460021906
"9","Saskatchewan","DivisionNo.17",4717,205,40135,0.00510776130559362
"10","Saskatchewan","DivisionNo.18",4718,70,33900,0.00206489675516224
"11","Saskatchewan","DivisionNo.2",4702,80,19890,0.00402212166918049
"12","Saskatchewan","DivisionNo.3",4703,60,12875,0.00466019417475728
"13","Saskatchewan","DivisionNo.4",4704,50,10945,0.00456829602558246
"14","Saskatchewan","DivisionNo.5",4705,130,29950,0.00434056761268781
"15","Saskatchewan","DivisionNo.6",4706,5290,217860,0.0242816487652621
"16","Saskatchewan","DivisionNo.7",4707,325,44240,0.00734629294755877
"17","Saskatchewan","DivisionNo.8",4708,255,28790,0.00885724209795068
"18","Saskatchewan","DivisionNo.9",4709,180,34105,0.00527781850168597
