"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,23665,28750,0.823130434782609
"2","Saskatchewan","DivisionNo.10",4710,15355,17325,0.886291486291486
"3","Saskatchewan","DivisionNo.11",4711,184570,241000,0.765850622406639
"4","Saskatchewan","DivisionNo.12",4712,18710,22180,0.843552750225428
"5","Saskatchewan","DivisionNo.13",4713,17965,22090,0.813263920325939
"6","Saskatchewan","DivisionNo.14",4714,31380,35950,0.872878998609179
"7","Saskatchewan","DivisionNo.15",4715,66160,77350,0.855332902391726
"8","Saskatchewan","DivisionNo.16",4716,31725,36520,0.868702081051479
"9","Saskatchewan","DivisionNo.17",4717,32765,40135,0.816369752086707
"10","Saskatchewan","DivisionNo.18",4718,27560,33900,0.812979351032448
"11","Saskatchewan","DivisionNo.2",4702,17370,19890,0.873303167420814
"12","Saskatchewan","DivisionNo.3",4703,11105,12875,0.86252427184466
"13","Saskatchewan","DivisionNo.4",4704,8260,10945,0.754682503426222
"14","Saskatchewan","DivisionNo.5",4705,24820,29950,0.828714524207012
"15","Saskatchewan","DivisionNo.6",4706,173540,217860,0.796566602405214
"16","Saskatchewan","DivisionNo.7",4707,34630,44240,0.782775768535262
"17","Saskatchewan","DivisionNo.8",4708,22995,28790,0.798714831538729
"18","Saskatchewan","DivisionNo.9",4709,28005,34105,0.821140595220642
