"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,4295,28750,0.149391304347826
"2","Saskatchewan","DivisionNo.10",4710,1490,17325,0.086002886002886
"3","Saskatchewan","DivisionNo.11",4711,35915,241000,0.14902489626556
"4","Saskatchewan","DivisionNo.12",4712,2620,22180,0.118124436429216
"5","Saskatchewan","DivisionNo.13",4713,3605,22090,0.163196016296967
"6","Saskatchewan","DivisionNo.14",4714,3665,35950,0.101947148817803
"7","Saskatchewan","DivisionNo.15",4715,8565,77350,0.110730446024564
"8","Saskatchewan","DivisionNo.16",4716,3655,36520,0.100082146768894
"9","Saskatchewan","DivisionNo.17",4717,6415,40135,0.159835555001869
"10","Saskatchewan","DivisionNo.18",4718,6065,33900,0.178908554572271
"11","Saskatchewan","DivisionNo.2",4702,1790,19890,0.0899949723479135
"12","Saskatchewan","DivisionNo.3",4703,1350,12875,0.104854368932039
"13","Saskatchewan","DivisionNo.4",4704,2330,10945,0.212882594792143
"14","Saskatchewan","DivisionNo.5",4705,4210,29950,0.140567612687813
"15","Saskatchewan","DivisionNo.6",4706,27475,217860,0.126113100156064
"16","Saskatchewan","DivisionNo.7",4707,7500,44240,0.169529837251356
"17","Saskatchewan","DivisionNo.8",4708,4675,28790,0.162382771795762
"18","Saskatchewan","DivisionNo.9",4709,4875,34105,0.142940917753995
