"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,20,28750,0.000695652173913044
"2","Saskatchewan","DivisionNo.10",4710,0,17325,0
"3","Saskatchewan","DivisionNo.11",4711,520,241000,0.00215767634854772
"4","Saskatchewan","DivisionNo.12",4712,15,22180,0.000676284941388638
"5","Saskatchewan","DivisionNo.13",4713,10,22090,0.000452693526482571
"6","Saskatchewan","DivisionNo.14",4714,10,35950,0.000278164116828929
"7","Saskatchewan","DivisionNo.15",4715,60,77350,0.000775694893341952
"8","Saskatchewan","DivisionNo.16",4716,10,36520,0.000273822562979189
"9","Saskatchewan","DivisionNo.17",4717,10,40135,0.000249159088077738
"10","Saskatchewan","DivisionNo.18",4718,0,33900,0
"11","Saskatchewan","DivisionNo.2",4702,15,19890,0.000754147812971342
"12","Saskatchewan","DivisionNo.3",4703,0,12875,0
"13","Saskatchewan","DivisionNo.4",4704,0,10945,0
"14","Saskatchewan","DivisionNo.5",4705,20,29950,0.000667779632721202
"15","Saskatchewan","DivisionNo.6",4706,340,217860,0.00156063527035711
"16","Saskatchewan","DivisionNo.7",4707,25,44240,0.000565099457504521
"17","Saskatchewan","DivisionNo.8",4708,25,28790,0.000868357068426537
"18","Saskatchewan","DivisionNo.9",4709,15,34105,0.000439818208473831
