"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,10,28750,0.000347826086956522
"2","Saskatchewan","DivisionNo.10",4710,0,17325,0
"3","Saskatchewan","DivisionNo.11",4711,1620,241000,0.00672199170124481
"4","Saskatchewan","DivisionNo.12",4712,0,22180,0
"5","Saskatchewan","DivisionNo.13",4713,50,22090,0.00226346763241286
"6","Saskatchewan","DivisionNo.14",4714,25,35950,0.000695410292072323
"7","Saskatchewan","DivisionNo.15",4715,60,77350,0.000775694893341952
"8","Saskatchewan","DivisionNo.16",4716,50,36520,0.00136911281489595
"9","Saskatchewan","DivisionNo.17",4717,25,40135,0.000622897720194344
"10","Saskatchewan","DivisionNo.18",4718,15,33900,0.000442477876106195
"11","Saskatchewan","DivisionNo.2",4702,40,19890,0.00201106083459025
"12","Saskatchewan","DivisionNo.3",4703,0,12875,0
"13","Saskatchewan","DivisionNo.4",4704,0,10945,0
"14","Saskatchewan","DivisionNo.5",4705,20,29950,0.000667779632721202
"15","Saskatchewan","DivisionNo.6",4706,1180,217860,0.00541632240888644
"16","Saskatchewan","DivisionNo.7",4707,140,44240,0.00316455696202532
"17","Saskatchewan","DivisionNo.8",4708,110,28790,0.00382077110107676
"18","Saskatchewan","DivisionNo.9",4709,70,34105,0.00205248497287788
