"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,290,28750,0.0100869565217391
"2","Saskatchewan","DivisionNo.10",4710,260,17325,0.015007215007215
"3","Saskatchewan","DivisionNo.11",4711,7175,241000,0.0297717842323651
"4","Saskatchewan","DivisionNo.12",4712,485,22180,0.0218665464382326
"5","Saskatchewan","DivisionNo.13",4713,280,22090,0.012675418741512
"6","Saskatchewan","DivisionNo.14",4714,550,35950,0.0152990264255911
"7","Saskatchewan","DivisionNo.15",4715,1560,77350,0.0201680672268908
"8","Saskatchewan","DivisionNo.16",4716,670,36520,0.0183461117196057
"9","Saskatchewan","DivisionNo.17",4717,445,40135,0.0110875794194593
"10","Saskatchewan","DivisionNo.18",4718,100,33900,0.00294985250737463
"11","Saskatchewan","DivisionNo.2",4702,295,19890,0.0148315736551031
"12","Saskatchewan","DivisionNo.3",4703,195,12875,0.0151456310679612
"13","Saskatchewan","DivisionNo.4",4704,140,10945,0.0127912288716309
"14","Saskatchewan","DivisionNo.5",4705,495,29950,0.0165275459098497
"15","Saskatchewan","DivisionNo.6",4706,6445,217860,0.0295832185807399
"16","Saskatchewan","DivisionNo.7",4707,1045,44240,0.023621157323689
"17","Saskatchewan","DivisionNo.8",4708,490,28790,0.0170197985411601
"18","Saskatchewan","DivisionNo.9",4709,695,34105,0.0203782436592875
