"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,10,28750,0.000347826086956522
"2","Saskatchewan","DivisionNo.10",4710,20,17325,0.00115440115440115
"3","Saskatchewan","DivisionNo.11",4711,365,241000,0.00151452282157676
"4","Saskatchewan","DivisionNo.12",4712,0,22180,0
"5","Saskatchewan","DivisionNo.13",4713,0,22090,0
"6","Saskatchewan","DivisionNo.14",4714,10,35950,0.000278164116828929
"7","Saskatchewan","DivisionNo.15",4715,80,77350,0.00103425985778927
"8","Saskatchewan","DivisionNo.16",4716,10,36520,0.000273822562979189
"9","Saskatchewan","DivisionNo.17",4717,0,40135,0
"10","Saskatchewan","DivisionNo.18",4718,0,33900,0
"11","Saskatchewan","DivisionNo.2",4702,10,19890,0.000502765208647562
"12","Saskatchewan","DivisionNo.3",4703,0,12875,0
"13","Saskatchewan","DivisionNo.4",4704,0,10945,0
"14","Saskatchewan","DivisionNo.5",4705,40,29950,0.0013355592654424
"15","Saskatchewan","DivisionNo.6",4706,295,217860,0.00135408060222161
"16","Saskatchewan","DivisionNo.7",4707,10,44240,0.000226039783001808
"17","Saskatchewan","DivisionNo.8",4708,15,28790,0.000521014241055922
"18","Saskatchewan","DivisionNo.9",4709,25,34105,0.000733030347456385
