"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,725,28750,0.0252173913043478
"2","Saskatchewan","DivisionNo.10",4710,450,17325,0.025974025974026
"3","Saskatchewan","DivisionNo.11",4711,18135,241000,0.0752489626556017
"4","Saskatchewan","DivisionNo.12",4712,810,22180,0.0365193868349865
"5","Saskatchewan","DivisionNo.13",4713,495,22090,0.0224083295608873
"6","Saskatchewan","DivisionNo.14",4714,870,35950,0.0242002781641168
"7","Saskatchewan","DivisionNo.15",4715,2505,77350,0.0323852617970265
"8","Saskatchewan","DivisionNo.16",4716,1125,36520,0.0308050383351588
"9","Saskatchewan","DivisionNo.17",4717,850,40135,0.0211785224866077
"10","Saskatchewan","DivisionNo.18",4718,250,33900,0.00737463126843658
"11","Saskatchewan","DivisionNo.2",4702,685,19890,0.034439416792358
"12","Saskatchewan","DivisionNo.3",4703,375,12875,0.029126213592233
"13","Saskatchewan","DivisionNo.4",4704,335,10945,0.0306075833714025
"14","Saskatchewan","DivisionNo.5",4705,850,29950,0.0283806343906511
"15","Saskatchewan","DivisionNo.6",4706,15520,217860,0.0712384099880657
"16","Saskatchewan","DivisionNo.7",4707,1935,44240,0.0437386980108499
"17","Saskatchewan","DivisionNo.8",4708,1050,28790,0.0364709968739146
"18","Saskatchewan","DivisionNo.9",4709,1175,34105,0.0344524263304501
