"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,0,28750,0
"2","Saskatchewan","DivisionNo.10",4710,10,17325,0.000577200577200577
"3","Saskatchewan","DivisionNo.11",4711,720,241000,0.00298755186721992
"4","Saskatchewan","DivisionNo.12",4712,0,22180,0
"5","Saskatchewan","DivisionNo.13",4713,0,22090,0
"6","Saskatchewan","DivisionNo.14",4714,0,35950,0
"7","Saskatchewan","DivisionNo.15",4715,20,77350,0.000258564964447317
"8","Saskatchewan","DivisionNo.16",4716,20,36520,0.000547645125958379
"9","Saskatchewan","DivisionNo.17",4717,20,40135,0.000498318176155475
"10","Saskatchewan","DivisionNo.18",4718,20,33900,0.000589970501474926
"11","Saskatchewan","DivisionNo.2",4702,0,19890,0
"12","Saskatchewan","DivisionNo.3",4703,0,12875,0
"13","Saskatchewan","DivisionNo.4",4704,0,10945,0
"14","Saskatchewan","DivisionNo.5",4705,45,29950,0.0015025041736227
"15","Saskatchewan","DivisionNo.6",4706,745,217860,0.00341962728357661
"16","Saskatchewan","DivisionNo.7",4707,35,44240,0.000791139240506329
"17","Saskatchewan","DivisionNo.8",4708,50,28790,0.00173671413685307
"18","Saskatchewan","DivisionNo.9",4709,10,34105,0.000293212138982554
