"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,27965,28750,0.972695652173913
"2","Saskatchewan","DivisionNo.10",4710,16840,17325,0.972005772005772
"3","Saskatchewan","DivisionNo.11",4711,220485,241000,0.914875518672199
"4","Saskatchewan","DivisionNo.12",4712,21330,22180,0.961677186654644
"5","Saskatchewan","DivisionNo.13",4713,21565,22090,0.976233589859665
"6","Saskatchewan","DivisionNo.14",4714,35045,35950,0.974826147426982
"7","Saskatchewan","DivisionNo.15",4715,74725,77350,0.96606334841629
"8","Saskatchewan","DivisionNo.16",4716,35380,36520,0.968784227820372
"9","Saskatchewan","DivisionNo.17",4717,39185,40135,0.976329886632615
"10","Saskatchewan","DivisionNo.18",4718,33625,33900,0.99188790560472
"11","Saskatchewan","DivisionNo.2",4702,19165,19890,0.963549522373052
"12","Saskatchewan","DivisionNo.3",4703,12455,12875,0.967378640776699
"13","Saskatchewan","DivisionNo.4",4704,10595,10945,0.968021927820923
"14","Saskatchewan","DivisionNo.5",4705,29030,29950,0.969282136894825
"15","Saskatchewan","DivisionNo.6",4706,201015,217860,0.922679702561278
"16","Saskatchewan","DivisionNo.7",4707,42135,44240,0.952418625678119
"17","Saskatchewan","DivisionNo.8",4708,27670,28790,0.961097603334491
"18","Saskatchewan","DivisionNo.9",4709,32880,34105,0.964081512974637
