"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,10,28750,0.000347826086956522
"2","Saskatchewan","DivisionNo.10",4710,0,17325,0
"3","Saskatchewan","DivisionNo.11",4711,145,241000,0.000601659751037344
"4","Saskatchewan","DivisionNo.12",4712,0,22180,0
"5","Saskatchewan","DivisionNo.13",4713,0,22090,0
"6","Saskatchewan","DivisionNo.14",4714,25,35950,0.000695410292072323
"7","Saskatchewan","DivisionNo.15",4715,25,77350,0.000323206205559147
"8","Saskatchewan","DivisionNo.16",4716,15,36520,0.000410733844468784
"9","Saskatchewan","DivisionNo.17",4717,40,40135,0.000996636352310951
"10","Saskatchewan","DivisionNo.18",4718,10,33900,0.000294985250737463
"11","Saskatchewan","DivisionNo.2",4702,10,19890,0.000502765208647562
"12","Saskatchewan","DivisionNo.3",4703,10,12875,0.000776699029126214
"13","Saskatchewan","DivisionNo.4",4704,0,10945,0
"14","Saskatchewan","DivisionNo.5",4705,10,29950,0.000333889816360601
"15","Saskatchewan","DivisionNo.6",4706,95,217860,0.000436059854952722
"16","Saskatchewan","DivisionNo.7",4707,25,44240,0.000565099457504521
"17","Saskatchewan","DivisionNo.8",4708,10,28790,0.000347342827370615
"18","Saskatchewan","DivisionNo.9",4709,10,34105,0.000293212138982554
