"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,45,28750,0.00156521739130435
"2","Saskatchewan","DivisionNo.10",4710,10,17325,0.000577200577200577
"3","Saskatchewan","DivisionNo.11",4711,500,241000,0.0020746887966805
"4","Saskatchewan","DivisionNo.12",4712,50,22180,0.00225428313796213
"5","Saskatchewan","DivisionNo.13",4713,35,22090,0.001584427342689
"6","Saskatchewan","DivisionNo.14",4714,10,35950,0.000278164116828929
"7","Saskatchewan","DivisionNo.15",4715,110,77350,0.00142210730446025
"8","Saskatchewan","DivisionNo.16",4716,15,36520,0.000410733844468784
"9","Saskatchewan","DivisionNo.17",4717,40,40135,0.000996636352310951
"10","Saskatchewan","DivisionNo.18",4718,25,33900,0.000737463126843658
"11","Saskatchewan","DivisionNo.2",4702,10,19890,0.000502765208647562
"12","Saskatchewan","DivisionNo.3",4703,0,12875,0
"13","Saskatchewan","DivisionNo.4",4704,0,10945,0
"14","Saskatchewan","DivisionNo.5",4705,10,29950,0.000333889816360601
"15","Saskatchewan","DivisionNo.6",4706,545,217860,0.00250160653630772
"16","Saskatchewan","DivisionNo.7",4707,40,44240,0.000904159132007233
"17","Saskatchewan","DivisionNo.8",4708,0,28790,0
"18","Saskatchewan","DivisionNo.9",4709,15,34105,0.000439818208473831
