"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,115,28750,0.004
"2","Saskatchewan","DivisionNo.10",4710,105,17325,0.00606060606060606
"3","Saskatchewan","DivisionNo.11",4711,2590,241000,0.010746887966805
"4","Saskatchewan","DivisionNo.12",4712,185,22180,0.00834084761045987
"5","Saskatchewan","DivisionNo.13",4713,95,22090,0.00430058850158443
"6","Saskatchewan","DivisionNo.14",4714,180,35950,0.00500695410292072
"7","Saskatchewan","DivisionNo.15",4715,515,77350,0.00665804783451842
"8","Saskatchewan","DivisionNo.16",4716,230,36520,0.00629791894852136
"9","Saskatchewan","DivisionNo.17",4717,220,40135,0.00548149993771023
"10","Saskatchewan","DivisionNo.18",4718,45,33900,0.00132743362831858
"11","Saskatchewan","DivisionNo.2",4702,95,19890,0.00477626948215184
"12","Saskatchewan","DivisionNo.3",4703,65,12875,0.00504854368932039
"13","Saskatchewan","DivisionNo.4",4704,80,10945,0.00730927364093193
"14","Saskatchewan","DivisionNo.5",4705,250,29950,0.00834724540901502
"15","Saskatchewan","DivisionNo.6",4706,2090,217860,0.00959331680895988
"16","Saskatchewan","DivisionNo.7",4707,355,44240,0.00802441229656419
"17","Saskatchewan","DivisionNo.8",4708,250,28790,0.00868357068426537
"18","Saskatchewan","DivisionNo.9",4709,220,34105,0.00645066705761619
