"","PRNAME","CDNAME","CDUID","value","total","proportion"
"1","Saskatchewan","DivisionNo.1",4701,240,28750,0.00834782608695652
"2","Saskatchewan","DivisionNo.10",4710,140,17325,0.00808080808080808
"3","Saskatchewan","DivisionNo.11",4711,1830,241000,0.00759336099585062
"4","Saskatchewan","DivisionNo.12",4712,135,22180,0.00608656447249775
"5","Saskatchewan","DivisionNo.13",4713,95,22090,0.00430058850158443
"6","Saskatchewan","DivisionNo.14",4714,170,35950,0.00472878998609179
"7","Saskatchewan","DivisionNo.15",4715,250,77350,0.00323206205559147
"8","Saskatchewan","DivisionNo.16",4716,150,36520,0.00410733844468784
"9","Saskatchewan","DivisionNo.17",4717,115,40135,0.00286532951289398
"10","Saskatchewan","DivisionNo.18",4718,40,33900,0.00117994100294985
"11","Saskatchewan","DivisionNo.2",4702,170,19890,0.00854700854700855
"12","Saskatchewan","DivisionNo.3",4703,95,12875,0.00737864077669903
"13","Saskatchewan","DivisionNo.4",4704,120,10945,0.0109639104613979
"14","Saskatchewan","DivisionNo.5",4705,160,29950,0.00534223706176962
"15","Saskatchewan","DivisionNo.6",4706,1095,217860,0.00502616359129716
"16","Saskatchewan","DivisionNo.7",4707,310,44240,0.00700723327305606
"17","Saskatchewan","DivisionNo.8",4708,200,28790,0.0069468565474123
"18","Saskatchewan","DivisionNo.9",4709,115,34105,0.00337193959829937
