"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Greater Vancouver [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",2097965,1223435,25415,3455 
"  0 to 4 years",105250,70685,715,290 
"  5 to 9 years",112005,76610,530,250 
"  10 to 14 years",128325,85910,710,265 
"  15 to 19 years",137120,86270,660,245 
"  20 to 24 years",147955,87500,1280,310 
"  25 to 29 years",142925,83720,1895,305 
"  30 to 34 years",145985,83630,2070,190 
"  35 to 39 years",164985,91060,2265,250 
"  40 to 44 years",181405,97280,2530,220 
"  45 to 49 years",177355,99030,2395,225 
"  50 to 54 years",159605,89870,2665,160 
"  55 to 59 years",138910,79415,2060,170 
"  60 to 64 years",97590,56630,1730,165 
"  65 to 69 years",75975,37840,1110,155 
"  70 to 74 years",63650,30415,920,65 
"  75 to 79 years",52210,27240,855,75 
"  80 to 84 years",37895,22035,580,80 
"  85 years and over",28815,18300,460,35 
"Median age [4]",38.9,37.0,45.1,32.0 
"Total population 15 years and over by legal marital status [5]",1752385,990235,23460,2640 
"  Never legally married (single)",597755,393795,8340,1270 
"  Legally married (and not separated) [6]",888315,428690,10100,885 
"  Separated, but still legally married",49975,31775,800,85 
"  Divorced",128045,88765,2825,265 
"  Widowed",88305,47210,1395,125 
"Total population 15 years and over by common-law status [7]",1752385,990235,23460,2640 
"  Not in a common-law relationship",1634610,897880,20075,2365 
"  In a common-law relationship",117775,92355,3380,270 
"Total population by knowledge of official languages [8]",2097960,1223440,25415,3450 
"  English only",1825595,1120740,2205,860 
"  French only",1140,75,630,10 
"  English and French",162785,101205,22550,2590 
"  Neither English nor French",108440,1410,35,0 
"Total population by first official language spoken [9]",2097965,1223435,25415,3450 
"  English",1953125,1223360,2200,2715 
"  French",24485,75,23215,185 
"  English and French",13830,0,0,555 
"  Neither English nor French",106525,0,0,0 
"Official language minority - (number) [10]",31400,75,23215,465 
"Official language minority - (percentage) [11]",1.5,0.0,91.3,13.5 
"Total population by language spoken most often at home [12]",2097965,1223435,25420,3450 
"  Single responses",2033840,1207395,24125,2745 
"    English",1478110,1188270,16730,2510 
"    French",8070,475,6810,175 
"    Non-official languages",547660,18650,585,60 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",10,10,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",30,10,0,0 
"      Siouan languages (Dakota/Sioux)",25,10,0,0 
"      Dene",0,10,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",10,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",4935,100,0,0 
"      Portuguese",3080,30,10,0 
"      Romanian",3160,45,35,0 
"      Spanish",14255,415,85,15 
"      Danish",185,0,0,0 
"      Dutch",950,20,0,0 
"      Flemish",10,0,0,0 
"      Frisian",35,0,0,0 
"      German",3230,115,10,0 
"      Norwegian",125,0,0,0 
"      Swedish",205,85,0,0 
"      Yiddish",60,15,0,0 
"      Bosnian",785,0,0,0 
"      Bulgarian",760,0,0,0 
"      Croatian",2310,25,10,0 
"      Czech",1075,25,0,0 
"      Macedonian",120,0,0,0 
"      Polish",5750,75,0,0 
"      Russian",8290,175,10,0 
"      Serbian",3740,0,10,0 
"      Serbo-Croatian",630,10,0,0 
"      Slovak",960,10,0,0 
"      Slovenian",50,0,0,0 
"      Ukrainian",785,15,0,0 
"      Latvian",35,0,0,0 
"      Lithuanian",55,0,0,0 
"      Estonian",175,0,0,0 
"      Finnish",565,0,0,0 
"      Hungarian",2000,70,0,0 
"      Greek",2300,70,0,0 
"      Armenian",445,0,0,0 
"      Turkish",840,50,0,0 
"      Amharic",680,30,0,0 
"      Arabic",3705,220,90,0 
"      Hebrew",790,25,25,0 
"      Maltese",30,0,0,0 
"      Somali",510,10,0,0 
"      Tigrigna",115,0,0,0 
"      Bengali",985,125,0,0 
"      Gujarati",2895,310,10,0 
"      Hindi",11185,735,0,10 
"      Kurdish",710,35,0,0 
"      Panjabi (Punjabi)",87150,2840,60,0 
"      Pashto",425,0,0,0 
"      Persian (Farsi)",19260,410,0,0 
"      Sindhi",595,50,0,0 
"      Sinhala (Sinhalese)",330,0,0,0 
"      Urdu",4320,200,0,0 
"      Malayalam",210,30,0,0 
"      Tamil",2130,110,0,0 
"      Telugu",110,25,0,0 
"      Japanese",8250,350,0,0 
"      Korean",35925,1225,0,20 
"      Cantonese",104685,2955,45,0 
"      Chinese, n.o.s. [13]",88730,2040,40,10 
"      Mandarin",59680,915,20,0 
"      Taiwanese",2815,40,0,0 
"      Lao",330,25,10,0 
"      Khmer (Cambodian)",560,25,0,0 
"      Vietnamese",15880,1250,95,0 
"      Bisayan languages",960,200,0,0 
"      Ilocano",1145,60,0,0 
"      Malay",1200,15,0,0 
"      Tagalog (Pilipino, Filipino)",22365,2300,0,0 
"      Akan (Twi)",125,10,0,0 
"      Swahili",115,15,0,0 
"      Creoles",150,65,0,0 
"      Other languages [14]",6645,630,0,0 
"  Multiple responses",64125,16040,1295,710 
"    English and French",2050,420,830,415 
"    English and non-official language",61175,15495,230,160 
"    French and non-official language",395,20,145,20 
"    English, French and non-official language",500,100,90,110 
"Total population by language spoken on a regular basis at home [15]",2097965,1223440,25420,3450 
"  None",1703405,1169010,15035,2565 
"  Single responses",388485,53525,10005,865 
"    English",198760,10525,3815,115 
"    French",15940,8000,5635,565 
"    Non-official languages",173780,35005,560,185 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",10,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,10,0,0 
"      Cree",60,40,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",10,0,0,0 
"      Gitksan",20,10,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",70,55,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",15,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",5635,1270,30,10 
"      Portuguese",2640,475,10,0 
"      Romanian",1025,70,0,0 
"      Spanish",9020,2610,95,65 
"      Danish",660,35,0,0 
"      Dutch",1825,190,0,0 
"      Flemish",75,0,0,0 
"      Frisian",0,0,0,0 
"      German",7535,1240,25,15 
"      Norwegian",210,35,0,0 
"      Swedish",505,85,0,0 
"      Yiddish",40,15,0,0 
"      Bosnian",485,70,10,0 
"      Bulgarian",275,30,0,0 
"      Croatian",1950,215,0,0 
"      Czech",970,110,0,0 
"      Macedonian",50,15,0,0 
"      Polish",3115,310,0,0 
"      Russian",1735,180,0,0 
"      Serbian",1080,165,10,0 
"      Serbo-Croatian",385,10,0,0 
"      Slovak",555,45,0,0 
"      Slovenian",205,0,0,0 
"      Ukrainian",650,70,10,0 
"      Latvian",70,15,0,0 
"      Lithuanian",55,10,0,0 
"      Estonian",185,0,0,0 
"      Finnish",555,50,0,0 
"      Hungarian",1500,135,0,0 
"      Greek",2210,610,15,0 
"      Armenian",205,25,0,10 
"      Turkish",590,45,0,0 
"      Amharic",295,55,0,0 
"      Arabic",2150,405,60,0 
"      Hebrew",710,235,25,10 
"      Maltese",20,0,0,0 
"      Somali",205,0,0,0 
"      Tigrigna",55,15,0,0 
"      Bengali",330,80,0,0 
"      Gujarati",2545,755,0,0 
"      Hindi",9290,2215,0,0 
"      Kurdish",205,25,0,0 
"      Panjabi (Punjabi)",20650,5275,0,0 
"      Pashto",85,10,0,0 
"      Persian (Farsi)",4440,650,10,15 
"      Sindhi",545,150,0,0 
"      Sinhala (Sinhalese)",405,90,0,0 
"      Urdu",2035,435,10,0 
"      Malayalam",255,50,0,0 
"      Tamil",550,130,0,0 
"      Telugu",85,0,0,0 
"      Japanese",4605,1350,55,0 
"      Korean",3560,600,0,0 
"      Cantonese",20010,3820,15,30 
"      Chinese, n.o.s. [16]",15680,2700,0,10 
"      Mandarin",9030,1010,20,10 
"      Taiwanese",2335,45,0,0 
"      Lao",200,60,0,0 
"      Khmer (Cambodian)",290,55,0,0 
"      Vietnamese",3955,875,15,0 
"      Bisayan languages",440,40,0,0 
"      Ilocano",515,75,0,0 
"      Malay",775,150,0,0 
"      Tagalog (Pilipino, Filipino)",15140,3435,10,10 
"      Akan (Twi)",185,35,0,0 
"      Swahili",165,55,0,0 
"      Creoles",120,45,30,0 
"      Other languages [17]",5730,1820,95,0 
"  Multiple responses",6075,905,375,20 
"    English and French",595,10,75,10 
"    English and non-official language",2590,185,80,0 
"    French and non-official language",2860,700,220,10 
"    English, French and non-official language",30,0,0,0 
"Algonquin - Various non-official languages spoken [18]",0,0,0,0 
"Atikamekw",0,0,0,0 
"Blackfoot",20,10,0,0 
"Carrier",40,20,0,0 
"Chilcotin",0,0,0,0 
"Chipewyan",10,10,0,0 
"Cree",355,205,0,0 
"Siouan languages (Dakota/Sioux)",50,15,0,0 
"Dene",45,0,0,0 
"Dogrib",15,0,0,0 
"Gitksan",110,50,0,0 
"Inuinnaqtun",0,0,0,0 
"Inuktitut, n.i.e.",30,0,0,0 
"Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"Malecite",0,0,0,0 
"Mi'kmaq",0,0,0,0 
