"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Africa",65,25,10,0
"Brant","    Africa",365,150,10,0
"Bruce","    Africa",75,30,0,0
"Chatham-Kent","    Africa",190,60,0,0
"Cochrane","    Africa",55,0,0,0
"Dufferin","    Africa",140,90,10,0
"Durham","    Africa",4430,1735,210,10
"Elgin","    Africa",100,70,0,0
"Essex","    Africa",3465,905,170,20
"Frontenac","    Africa",705,270,30,10
"Greater Sudbury","    Africa",450,110,105,0
"Grey","    Africa",160,95,20,0
"Haldimand-Norfolk","    Africa",50,35,10,0
"Haliburton","    Africa",15,15,0,0
"Halton","    Africa",4880,2540,240,0
"Hamilton","    Africa",4645,1390,295,80
"Hastings","    Africa",235,95,0,0
"Huron","    Africa",25,20,0,0
"Kawartha Lakes","    Africa",85,30,0,0
"Kenora","    Africa",70,30,0,0
"Lambton","    Africa",325,130,60,0
"Lanark","    Africa",175,110,10,0
"Leeds and Grenville","    Africa",80,50,15,0
"Lennox and Addington","    Africa",30,20,10,0
"Manitoulin","    Africa",0,0,0,0
"Middlesex","    Africa",3690,875,130,15
"Muskoka","    Africa",55,25,0,0
"Niagara","    Africa",2225,660,130,0
"Nipissing","    Africa",160,85,0,0
"Northumberland","    Africa",115,70,10,0
"Ottawa","    Africa",18695,2940,2955,115
"Oxford","    Africa",225,95,10,0
"Parry Sound","    Africa",35,20,0,0
"Peel","    Africa",27185,8495,1650,350
"Perth","    Africa",125,35,0,0
"Peterborough","    Africa",240,115,20,0
"Prescott and Russell","    Africa",205,25,55,0
"Prince Edward","    Africa",35,15,0,0
"Rainy River","    Africa",0,10,0,0
"Renfrew","    Africa",115,55,10,0
"Simcoe","    Africa",1070,500,30,0
"Stormont, Dundas and Glengarry","    Africa",325,100,35,0
"Sudbury","    Africa",20,15,0,0
"Thunder Bay","    Africa",270,65,15,0
"Timiskaming","    Africa",60,40,0,0
"Toronto","    Africa",67680,18100,3980,355
"Waterloo","    Africa",4430,1030,110,40
"Wellington","    Africa",955,375,35,0
"York","    Africa",16070,6480,1275,165
