"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Asia and the Middle East",455,110,10,0
"Brant","    Asia and the Middle East",2625,305,0,0
"Bruce","    Asia and the Middle East",405,55,0,0
"Chatham-Kent","    Asia and the Middle East",1255,125,10,0
"Cochrane","    Asia and the Middle East",235,60,0,10
"Dufferin","    Asia and the Middle East",510,145,0,0
"Durham","    Asia and the Middle East",25145,4970,120,15
"Elgin","    Asia and the Middle East",710,180,0,0
"Essex","    Asia and the Middle East",27755,3030,190,20
"Frontenac","    Asia and the Middle East",3760,605,20,0
"Greater Sudbury","    Asia and the Middle East",1075,160,10,0
"Grey","    Asia and the Middle East",525,135,0,0
"Haldimand-Norfolk","    Asia and the Middle East",480,130,0,0
"Haliburton","    Asia and the Middle East",50,20,0,0
"Halton","    Asia and the Middle East",26385,4720,110,20
"Hamilton","    Asia and the Middle East",30740,3305,125,10
"Hastings","    Asia and the Middle East",1505,265,0,0
"Huron","    Asia and the Middle East",280,70,0,0
"Kawartha Lakes","    Asia and the Middle East",460,135,0,0
"Kenora","    Asia and the Middle East",145,10,0,0
"Lambton","    Asia and the Middle East",1625,245,0,0
"Lanark","    Asia and the Middle East",335,50,0,0
"Leeds and Grenville","    Asia and the Middle East",725,105,0,0
"Lennox and Addington","    Asia and the Middle East",180,30,0,0
"Manitoulin","    Asia and the Middle East",10,0,0,0
"Middlesex","    Asia and the Middle East",19875,2135,45,40
"Muskoka","    Asia and the Middle East",190,40,0,0
"Niagara","    Asia and the Middle East",10110,1465,25,15
"Nipissing","    Asia and the Middle East",500,70,0,0
"Northumberland","    Asia and the Middle East",740,215,0,0
"Ottawa","    Asia and the Middle East",73120,7880,960,200
"Oxford","    Asia and the Middle East",1040,165,0,0
"Parry Sound","    Asia and the Middle East",115,20,0,0
"Peel","    Asia and the Middle East",286355,38100,360,165
"Perth","    Asia and the Middle East",615,60,0,0
"Peterborough","    Asia and the Middle East",1495,260,15,0
"Prescott and Russell","    Asia and the Middle East",420,55,15,0
"Prince Edward","    Asia and the Middle East",140,45,0,0
"Rainy River","    Asia and the Middle East",15,0,0,0
"Renfrew","    Asia and the Middle East",685,100,10,0
"Simcoe","    Asia and the Middle East",5560,1090,0,30
"Stormont, Dundas and Glengarry","    Asia and the Middle East",1705,180,10,10
"Sudbury","    Asia and the Middle East",75,15,0,0
"Thunder Bay","    Asia and the Middle East",1365,145,10,0
"Timiskaming","    Asia and the Middle East",65,10,0,0
"Toronto","    Asia and the Middle East",601815,61865,1075,500
"Waterloo","    Asia and the Middle East",26885,2645,95,15
"Wellington","    Asia and the Middle East",8910,1040,0,0
"York","    Asia and the Middle East",207440,17420,435,120
